source,target
12.2.6: Consumption of Wood per capita cubic meter),Traditional Energy Consumption
12.5.1: Re-cycling of plastics in manufacturing industries (% of industries),Reuse or recycle the metal or non-metal scraps
12.5.2: Re-use of glass and metal products in manufacturing industries (% of industries),Reuse or recycle the metal or non-metal scraps
13.3.1: Proportion of schools covered by climate change education (%),Education Curriculums
15.4.3: Mountain Green Cover Index,Mountain Green Cover Index
16.1.1: Direct deaths from armed and violent conflict (number),[Homicide through various means]
16.1.2: Displaced people from armed and violent conflict (number),[Homicide through various means]
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),Took away privileges
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),Explained why behaviour was wrong
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),Shook child
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Shouted, yelled or screamed at child"
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),Gave child something else to do
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Spanked, hit or slapped child on bottom with bare hand"
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Hit child on the bottom or elsewhere with belt, brush, stick, etc."
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Called child dumb, lazy or another name"
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Hit or slapped child on the face, head or ears"
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),"Hit or slapped child on the hand, arm or leg"
16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%),Beat child up as hard as one could
16.2.2: Women age 20-49 years who were first married before age 18 years (%),Marriages
16.2.2: Women age 20-49 years who were first married before age 18 years (%), age at first marriage
16.2.2: Women age 20-49 years who were first married before age 18 years (%),Age at first marriage
16.2.3: Children trafficking to abroad (including India) per annum (reported number),[Human Trafficking]
16.6.2: Actual budget expenditure as percent of budget estimate,Budget
16.7.1: Voter turnout (%),Voter Turnout
16.9.1: Birth registration (% of children under age 5 whose births are registered),No. of Births
16.9.1: Birth registration (% of children under age 5 whose births are registered),Birth registered
16.9.2: Birth registration by gender and social groups,No. of Births
16.9.2: Birth registration by gender and social groups,Birth registered
"17.1.1: Total government revenue as a proportion of GDP, (%)",[Government Revenue]
"17.1.1: Total government revenue as a proportion of GDP, (%)",Gross Domestic Product  (GDP)
"17.1.2: Domestic expenditure financed by domestic revenue,",[Government Budgetary Operations]
"17.2.1: Net official development assistance, as a proportion of OECD/DAC gross national income (GNI)",Actual Commitments by Donor Agencies
"17.2.1: Net official development assistance, as a proportion of OECD/DAC gross national income (GNI)",Gross Domestic Product  (GDP)
"17.3.1: Official development assistance as a proportion of total domestic budget, (%)",Actual Commitments by Donor Agencies
"17.3.1: Official development assistance as a proportion of total domestic budget, (%)",Budget
17.3.2: FDI as a proportion of GDP (Inward stock) (%),[Summary of Balance of Payments]
17.3.2: FDI as a proportion of GDP (Inward stock) (%),Gross Domestic Product  (GDP)
17.3.3: Volume of remittances (in US dollars) as a proportion of total GDP (%),Gross Domestic Product  (GDP)
17.3.3: Volume of remittances (in US dollars) as a proportion of total GDP (%),[Receipts and Expenditures of Convertible Foreign Exchange]
17.4.1: Outstanding Debt to GDP Ratio (%),Gross Domestic Product  (GDP)
17.4.1: Outstanding Debt to GDP Ratio (%),[External Debt of Government of Nepal]
17.4.1: Outstanding Debt to GDP Ratio (%),[Government Budgetary Operations]
17.4.2: Debt service ratio to Export of Goods and Services,[Receipts and Expenditures of Convertible Foreign Exchange]
17.4.2: Debt service ratio to Export of Goods and Services,[Total Exports]
17.7.2: Internet Density (per 100 person),Dialup Subscription
17.7.2: Internet Density (per 100 person),Wireless Internet Subscription
17.7.2: Internet Density (per 100 person),Cable modem/optical fibre subscription
17.7.2: Internet Density (per 100 person),ADSL internet subscription
17.7.2: Internet Density (per 100 person),"GPRS, EDGE, WCDMA subscription"
17.7.2: Internet Density (per 100 person),"CDMA 1X, EVDO subscription"
17.7.2: Internet Density (per 100 person),WiMAX subscription by Service Operators
17.7.2: Internet Density (per 100 person),VSAT based Internet subscription
 cash received (rs.)," General economic, commercial and labour affairs"
 value of in-kind - rs/whole period," General economic, commercial and labour affairs"
 received as salary/month," General economic, commercial and labour affairs"
 received as transport/month," General economic, commercial and labour affairs"
 received as bonus/year," General economic, commercial and labour affairs"
 received as uniform/year," General economic, commercial and labour affairs"
 received as payments/year," General economic, commercial and labour affairs"
 yearly income," General economic, commercial and labour affairs"
 total income from livestock," General economic, commercial and labour affairs"
 amount received from selling equipments (rs.)," General economic, commercial and labour affairs"
 net revenues from entreprises," General economic, commercial and labour affairs"
 amount of interest, Economic affairs n.e.c.
 rent received in 12 months (rs.), Economic affairs n.e.c.
 value of sold assets (rs), Economic affairs n.e.c.
 value a year ago (rs.), Economic affairs n.e.c.
 cash received in remittance (rs.)," General economic, commercial and labour affairs"
 in-kind received in remittance (rs.)," General economic, commercial and labour affairs"
Gross Domestic Product  (GDP)," Executive and legislative organs, financial and fiscal affairs, external affairs"
Budget," Executive and legislative organs, financial and fiscal affairs, external affairs"
Senior citizens allowance (Dalits), R&D General public services
Senior citizens allowance (others), R&D General public services
Total Disability allowance, R&D General public services
Severe Distability allowance, R&D General public services
Endangered tribes/ethnicities allowance, R&D General public services
Child Nutritional Allowance , R&D General public services
Senior Citizens Allowance (Karnali), R&D General public services
Widow Allowance, R&D General public services
Child Security Allowance (Dalits), R&D General public services
Single Mother Allowance , R&D General public services
 total hours worked, Unemployment
 available for work, Unemployment
 looked for work, Unemployment
Level of education,Education not definable by level
 highest level completed, Education n.e.c.
 last level before leaving school, Secondary education
 reason for absenting from school, Education n.e.c.
Age at death (units),Public Health Services
Age at death (number),Public Health Services
Month pregnancy ended, Health n.e.c.
Year pregnancy ended, Health n.e.c.
Pregnancy duration,Public Health Services
Pregnancy intentionally terminated,Public Health Services
Age at death months (imputed),Public Health Services
Number of deaths due to diarrhoea among children under five years (facility and community), Public health services
Number of deaths due to diarrhoea among children under five years occurring at health facilities, Public health services
Number of deaths due to ARI among children under five years, Public health services
Number of deaths due to ARI at a health facility among children under five years, Public health services
Number of newborn deaths due to PSBI at a health facilities, Public health services
Food items consumed or not ?, General services
Value of home production, General services
Value of purchased, General services
Value of in-kind, General services
Child's age , Family and children
Child's height , Health n.e.c.
Height, Health n.e.c.
Source of lighting,R&D Environmental protection
Main floor material, Housing development
Main material of floor, General services
Fuel for cooking,Environmental protection n.e.c.
Electricity, General services
Access toRadio, General services
Access to Television, General services
Access to Non-mobile phone, General services
Refrigerator, General services
Improved stove, General services
Bed/Cot, General services
Wardrobe, General services
Computer - Desktop, General services
Wall clock, General services
Electric fan, General services
Microwave oven, General services
Washing machine, General services
Watch, General services
Mobile telephone, General services
Bicycle / rikshaw, General services
Motorcycle or scooter, General services
Animal-drawn cart, General services
Car or truck, General services
Boat, General services
Laptop computer, General services
 facility code, Housing and community amenities n.e.c.
 facility description, Housing and community amenities n.e.c.
 way to travel to the closest facility, Housing and community amenities n.e.c.
 time to go to/days, Housing and community amenities n.e.c.
 time to go to/hours, Housing and community amenities n.e.c.
 time to go to/minutes, Housing and community amenities n.e.c.
 distance to closest facility/kms, Housing and community amenities n.e.c.
 distance to closest facility/mts, Housing and community amenities n.e.c.
 loan obtained : month, Economic affairs n.e.c.
 loan obtained : year, Economic affairs n.e.c.
 obtained from, Economic affairs n.e.c.
 purpose of borrowing, Economic affairs n.e.c.
 amount borrowed (rs.), Economic affairs n.e.c.
 amount of interest (rs.), Economic affairs n.e.c.
female ownership in house,Social exclusion n.e.c.
Having female ownership in land,Social exclusion n.e.c.
Area of land on female ownership - Bigha,Social exclusion n.e.c.
Area of land on female ownership - Kattha,Social exclusion n.e.c.
Area of land on female ownership - Dhur,Social exclusion n.e.c.
Area of land on female ownership - Ropani,Social exclusion n.e.c.
Area of land on female ownership - Aana,Social exclusion n.e.c.
Area of land on female ownership - Paisa,Social exclusion n.e.c.
Death by various types of Disasters,Environmental protection n.e.c.
Missing People in Various types of Disasters,Environmental protection n.e.c.
Injured People in Various types of Disasters,Environmental protection n.e.c.
Affected families in Various types of Disasters,Environmental protection n.e.c.
Animals Lost in Various types of Disasters,Environmental protection n.e.c.
Houses Completely Destroyed,Environmental protection n.e.c.
Houses Partly Destroyed,Environmental protection n.e.c.
Sheds Destroyed,Environmental protection n.e.c.
Estimated losses in (rupees),Environmental protection n.e.c.
Value of items being imported, Economic affairs n.e.c.
Value of items being exported, Economic affairs n.e.c.
Agriculture and forestry," Executive and legislative organs, financial and fiscal affairs, external affairs"
Total Production of Various Crops,"Agriculture, forestry, fishing and hunting"
Sufficiency of supply,Defence n.e.c.
Road Infrastructure,General services
Port Infrastructure,General services
Political Stability Risk,General services
Corruption ,General services
Nutrional Monitoring and Surveillance,Social protection n.e.c.
 source of drinking water, Housing development
 piped water connected to house, Housing development
 status of drinking water facility, Water supply
Main source of drinking water,water supply
Water usually treated by: boil, Water supply
Water usually treated by: add bleach/chlorine, Water supply
Water usually treated by: strain through a cloth, Water supply
Water usually treated by: use water filter, Water supply
Water usually treated by: solar disinfection, Water supply
Water usually treated by: let it stand and settle, Water supply
Water usually treated by: other, Water supply
Water usually treated by: don't know, Water supply
Presence of formal grocery sector,Public health services
" weight (kgs, 1 decimal)", Basic research
" height (cms, 1 decimal)", Basic research
 way was measured, Basic research
Child's weight, Health n.e.c.
Gave child plain water, Family and children
Gave child juice, Family and children
"Gave child tinned, powdered or fresh milk", Family and children
Gave child baby formula, Family and children
Gave child soup/clear broth, Family and children
Gave child other liquid, Family and children
"Gave child bread, noodles, other made from grains", Family and children
"Gave child potatoes, cassava, or other tubers", Family and children
Gave child eggs, Family and children
"Gave child meat (beef, pork, lamb, chicken, etc)", Family and children
"Gave child pumpkin, carrots, squash (yellow or orange inside)", Family and children
Gave child any dark green leafy vegetables, Family and children
"Gave child mangoes, papayas, other vitamin A fruits", Family and children
Gave child any other fruits, Family and children
"Gave child liver, heart, other organs", Family and children
Gave child fish or shellfish, Family and children
"Gave child food made from beans, peas, lentils, nuts", Family and children
"Gave child cheese, yogurt, other milk products", Family and children
Gave child other solid-semisolid food, Family and children
Gave child yogurt, Family and children
"Gave child fortified baby food (cerelac, etc)", Family and children
Number newborns who initiated breastfeeding within 1 hour of birth, Public health services
Number of children aged 0? 6 months and registered for growth monitoring who were exclusively breastfed for first 6 months, Public health services
"Number of children aged 6?8 months registered for growth monitoring who received solid, semi?solid or soft foods", Public health services
Number of children aged 6?23 months who received monthly food supplements, Public health services
Child ate eggs,Health n.e.c.
Body Mass Index, Health n.e.c.
Respondent's weight in kilograms (1 decimal), Family and children
Respondent's height in centimeters (1 decimal), Family and children
Total Area Cultivated under Various Crops,"Agriculture, forestry, fishing and hunting"
Sector wise loans and advances, Economic affairs
Deprived sector loans, Economic affairs
Total Irrigated Land,"Agriculture, forestry, fishing and hunting"
Insurance Statistics, Economic affairs
Have Agricultural Land," Agriculture, forestry, fishing and hunting"
Having other's land cultivated by Hhld," Agriculture, forestry, fishing and hunting"
Having own land cultivate by others," Agriculture, forestry, fishing and hunting"
Household has own agricultural land," Agriculture, forestry, fishing and hunting"
 sector of employment," General economic, commercial and labour affairs"
Use of pesticide," Agriculture, forestry, fishing and hunting"
Number of maternal deaths in the community and facilities, Public health services
Number of maternal deaths in facilities, Public health services
Number of maternal deaths due to direct obstetric complications in health facilities, Public health services
Births attended by a skilled birth attendant, Public health services
Assistance: doctor, Health n.e.c.
Assistance: nurse/midwife, Health n.e.c.
Assistance: health assistant/AHW, Health n.e.c.
Assistance: MCHW, Health n.e.c.
Assistance: VHW, Health n.e.c.
Assistance: traditional birth attendant, Health n.e.c.
Assistance: FCHV, Health n.e.c.
Assistance: relative/friend, Health n.e.c.
Assistance: other, Health n.e.c.
Assistance: no one, Health n.e.c.
Number of STIs diagnosed, Public health services
Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 12 months, Public health services
Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 24 month, Public health services
Number of people with HIV who initiated antiretroviral therapy and are known to have been on it continuously for at least 36 months, Public health services
Number of people living with advanced HIV infection who received antiretroviral therapy in accordance with the nationally approved treatment protocol, Public health services
Number of TB cases registered, Public health services
Number of new cases of clinical malaria in high risk districts, Public health services
Number of new leprosy cases (PB and MB), Public health services
Number of relapse cases of leprosy, Public health services
Number of leprosy cases under rehabilitation, Public health services
Number of cases of lymphatic filariasis in at risk districts, Public health services
Number of cases of dengue in at risk districts, Public health services
Number of children under five years with a new case of diarrhoea, Public health services
"Number of deaths, by disease", Public health services
[Mean total cholesterol among all respondents including those currently on medication for raised cholesterol], Public health services
[Blood pressure measurement and diagnosis of hypertension], Public health services
[Percentage of respondents classified as overweight (BMI?25)], R&D Health
"[Mean maximum number of drinks consumed on one occasion in past 30 days, among current
drinkers]", R&D Health
[Daily Smoking Status], R&D Health
[Suicide], Public order and safety
Number of people who inject drugs (PWIDs) currently on opioid substitution therapy, Public health services
"[Mean number of drinking occasions in past 30 days, among current drinkers]", R&D Health
"[Mean number of standard drinks per drinking occasion, among current drinkers]", R&D Health
"[Category I, II and III* drinking, among current drinkers]", R&D Health
[Frequency and quantity of drinks consumed in past 7 days], R&D Health
[Traffic Accidents], Public order and safety
Type of method," Medical products, appliances and equipment"
Knows method," Medical products, appliances and equipment"
Method currently used," Medical products, appliances and equipment"
Current contraceptive method," Medical products, appliances and equipment"
Current use by method type," Medical products, appliances and equipment"
Month of start of use of method," Medical products, appliances and equipment"
Year of start of use of method," Medical products, appliances and equipment"
Number of women of reproductive age currently using a modern method of family planning, Public health services
Total children ever-born and non-live births,Hospital Services
Age of respondent at 1st birth, Health n.e.c.
Total normal deliveries, Public health services
No. of institutional deliveries, Public health services
Number of Postpartum women who received a PNC checkup within 24 hours of delivery, Public health services
Reason not using: not married, Health n.e.c.
Reason not using: not having sex, Health n.e.c.
Experienced signs of uterine prolapse, Health n.e.c.
Did seek medical care for prolapse, Community development
Number of antenatal visits during pregnancy, Health n.e.c.
Pregnant women who had four ANC checkups , Public health services
Number of new positive smear cases among males, Public health services
Number of children aged 0?14 years with a new positive smear, Public health services
Number of relapse cases, Public health services
Number of failure cases of TB, Public health services
Number of TAD Cases, Public health services
Number of pulmonary negative cases, Public health services
Number of extra pulmonary cases, Public health services
Number of cases classified as other, Public health services
Number of sputum positiv ecases examined by microscopy, Public health services
Number of new smear positive cases registered, Public health services
Number of new smea positive cases cured, Public health services
Number of new positive cases who completed full course of treatment, Public health services
Number of defaulted cases, Public health services
Number of treatment failure cases, Public health services
Number of deaths attributable to TB, Public health services
Number of cases transferred out, Public health services
Number of cases referred from private to public facilities, Public health services
Number of cases referred from other countries, Public health services
Number of TB cases with HIV infection, Public health services
Number of drug resistant TB patients, Public health services
Number of X?DR TB cases, Public health services
"[Percentage of respondents currently taking insulin and oral medication, among those previously
diagnosed]", Public health services
Received BCG, Family and children
BCG day, Family and children
BCG month, Family and children
BCG year, Family and children
Received DPT 1, Family and children
DPT 1 day, Family and children
DPT 1 month, Family and children
DPT 1 year, Family and children
Received POLIO 1, Family and children
POLIO 1 day, Family and children
POLIO 1 month, Family and children
POLIO 1 year, Family and children
Received DPT 2, Family and children
DPT 2 day, Family and children
DPT 2 month, Family and children
DPT 2 year, Family and children
Received POLIO 2, Family and children
POLIO 2 day, Family and children
POLIO 2 month, Family and children
POLIO 2 year, Family and children
Received DPT 3, Family and children
DPT 3 day, Family and children
DPT 3 month, Family and children
DPT 3 year, Family and children
Received POLIO 3, Family and children
POLIO 3 day, Family and children
POLIO 3 month, Family and children
POLIO 3 year, Family and children
Received MEASLES,Public Health Serviecs
MEASLES day,Public  Health Services
MEASLES month,Public  Health Services
MEASLES year,Public  Health Services
Ever had vaccination,Public  Health Services
Number of children under one year immunized with BCG, Public health services
Number of children under one year immunized with DPT?HepB?Hib1, Public health services
Number of children under one year immunized with DPT?HepB?Hib2, Public health services
Number of children under one year immunized with DPT?HepB?Hib3, Public health services
Number of children under one year immunized with Polio 1, Public health services
Number of children under one year immunized with Polio 2, Public health services
Number of children under one year immunized with Polio 3, Public health services
Number of children under one year immunized with PCV 1, Public health services
Number of children under one year immunized with PCV 2, Public health services
Number of children under one year immunized with PCV 3, Public health services
Number of children under one year immunized with IPV, Public health services
Number of children under one year immunized with measles/rubella, Public health services
Number of children aged 12?23 months immunized with measles/rubella 1, Public health services
Number of children aged 12?23 months immunized with measles/rubella 2, Public health services
Number of children aged 12?23 months immunized with JE, Public health services
"Number of children under one year fully immunized as per NIP schedule (BCG, DPT?Hep B?Hib?3, OPV?3 and Measles/Rubella, PCV3)", Public health services
 have immunization card,Public Health Services
 received vaccine: bcg,Public Health Services
 received vaccine: dpt1,Public Health Services
 received vaccine: dpt2,Public Health Services
 received vaccine: dpt3,Public Health Services
 received vaccine: polio 1,Public Health Services
 received vaccine: polio 2,Public Health Services
 received vaccine: polio 3,Public Health Services
 received vaccine: measles,Public Health Services
 received vaccine: hp-b 1,Public Health Services
 received vaccine: hp-b 2,Public Health Services
 received vaccine: hp-b 3,Public Health Services
 received bcg vaccine,Public Health Services
 received polio vaccine,Public Health Services
 when first polio vaccine received,Public Health Services
 no. of time polio vaccine received,Public Health Services
 received dpt vaccine,Public Health Services
 no. of time dpt vaccine received,Public Health Services
 received measles vaccine,Public Health Services
 received hp-b vaccine,Public Health Services
 place of immunization,Hospital Services
Number of health facilities that provide ART services, Public health services
[Mean Duration of Smoking Among Current Daily Smokers], R&D Health
[Mean amount of Tobacco Used by Daily Smokers], R&D Health
[Current smokers and types of Tobacco used], R&D Health
[Former Daily Smokers among all respondents], R&D Health
[Current Smokers who have attempted to stop or been advised by doctor to stop Smoking], R&D Health
[Smokeless Tobacco Used], R&D Health
[Former Daily Smokeless Tobacco Users], R&D Health
[Mean Times of Smokeless Tobacco use by Type], R&D Health
[Current users of smokeless tobacco and product used], R&D Health
Smokes cigarettes, Family and children
Smokes pipe, Family and children
Uses chewing tobacco, Family and children
Uses snuff, Family and children
Smokes bidi, Family and children
Smokes other, Family and children
Does not use tobacco, Family and children
Number of cigarettes in last 24 hours, Family and children
Actual Commitments by Sectors,Foreign economic aid
Actual Disbursements by Sectors,Foreign economic aid
Actual Expenditures by Sectors,Foreign economic aid
Number of doctors, Public health services
Number of nurses, Public health services
Number of paramedics, Public health services
Number of Female Community Health Volunteers (FCHVs), Public health services
Number of health facilities (public and private) reporting to HMIS, Public health services
[Net Enrolment Rate at Primary Education], Pre-primary and primary education
[Completion Rate at Primary Level], Pre-primary and primary education
[Net Enrolment Rate at Grade 9-10], Secondary education
[Pupil Teacher Ratio], Education n.e.c.
[Number of Teachers with Required Qualification and Training], R&D Education
[Number of Teachers with Required Certification], Education n.e.c.
[Average Score of Students in Core Subjects], Education n.e.c.
[Gross Enrolment Rate at Grade 9-10], Secondary education
[Gross Enrolment Rate at Grade 11-12], Post-secondary non-tertiary education
[Net Enrolment Rate at ECED/Pre-Primary Level], Pre-primary and primary education
[Enrolment in programs], Post-secondary non-tertiary education
[Enrolment by level], Tertiary education
WiMAX subscription by Service Operators,Communication
[Gross Intake Rate], Education n.e.c.
[Gross Enrolment Rate at Primary Education], Pre-primary and primary education
Members elected in constitutional bodies,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Hours Worked During Last 7 Days in Agriculture, Unemployment
Hours Worked During Last 7 Days in Non-Agriculture, Unemployment
Hours Worked During Last 7 Days in Own Business, Unemployment
Hours Worked During Last 7 Days in Own Agriculture, Unemployment
Hours Worked During Last 7 Days in Food Processing, Unemployment
Hours Worked During Last 7 Days in Handicrafts, Unemployment
Hours Worked During Last 7 Days in Construction & Repairs, Unemployment
Hours Worked During Last 7 Days in Fetching Water, Unemployment
Hours Worked During Last 7 Days in Firewood Collection, Unemployment
Hours Worked During Last 7 Days in Other Activities, Unemployment
Hours Worked During Last 7 Days (For Economic Activity), Unemployment
Hours Worked During Last 7 Days in Cooking/Serving Food for Household, Unemployment
Hours Worked During Last 7 Days in Cleaning Utensils/House, Unemployment
Hours Worked During Last 7 Days in Minor Household Repairs, Unemployment
Hours Worked During Last 7 Days in Shopping for Household, Unemployment
Hours Worked During Last 7 Days in Caring for the Old/Sick/Infirm, Unemployment
Hours Worked During Last 7 Days in Child Care, Unemployment
Hours Worked During Last 7 Days in Other Volunteer/Community Services, Unemployment
Hours Worked During Last 7 Days for House/Community, Unemployment
Length of Time has been Available for Work, Unemployment
Ever been humiliated by husband/partner,Public order and safety n.e.c
Ever been threatened with harm by husband/partner,Public order and safety n.e.c
Ever been insulted or made to feel bad by husband/partner,Public order and safety n.e.c
Experienced any emotional violence (D103x series)***,Public order and safety n.e.c
"Ever been pushed, shook or had something thrown by husband/partner",Public order and safety n.e.c
Ever been slapped by husband/partner,Public order and safety n.e.c
Ever been punched with fist or hit by something harmful by husband/partner,Public order and safety n.e.c
Ever been kicked or dragged by husband/partner,Public order and safety n.e.c
Ever been strangled or burnt by husband/partner,Public order and safety n.e.c
Ever been threatened with knife/gun or other weapon by husband/partner,Public order and safety n.e.c
Ever been physically forced into unwanted sex by husband/partner,Public order and safety n.e.c
Ever been forced into other unwanted sexual acts by husband/partner,Public order and safety n.e.c
Ever had arm twisted or hair pulled by husband/partner,Public order and safety n.e.c
"Experienced any less severe violence (D105A, D105B, D105C, D105J) by husband/par",Public order and safety n.e.c
Experienced any severe violence (D105D-F) by husband/partner,Public order and safety n.e.c
Experienced any sexual violence (D105H-I) by husband/partner,Public order and safety n.e.c
[Domestic Violence], Public order and safety
[Human Trafficking], Public order and safety
Took away privileges, Family and children
Explained why behaviour was wrong, Family and children
Shook child, Family and children
"Shouted, yelled or screamed at child", Family and children
Gave child something else to do, Family and children
"Spanked, hit or slapped child on bottom with bare hand", Family and children
"Hit child on the bottom or elsewhere with belt, brush, stick, etc.", Family and children
"Called child dumb, lazy or another name", Family and children
"Hit or slapped child on the face, head or ears", Family and children
"Hit or slapped child on the hand, arm or leg", Family and children
Beat child up as hard as one could, Family and children
Child needs to be physically punished to be brought up properly, Family and children
 a) hours spent on fetching water, Housing and community amenities
 b) hours spent on firewood collecting, Housing and community amenities
 c) hours spent on fodder collecting, Housing and community amenities
 d) hours spent on care animal, Housing and community amenities
 e) hours spent on knitting/weaving/tailoring, Housing and community amenities
 f) hours spent on processing preserved food, Housing and community amenities
 g) total hours spent for [a-f], Housing and community amenities
 h) hours spent on hhld repairing, Housing and community amenities
 i) hours spent on cooking/serving food, Housing and community amenities
 j) hours spent on cleaning house, Housing and community amenities
 k) hours spent on shopping, Housing and community amenities
 l) hours spent on caring for elderly/sick/disabled, Family and children
 m) hours spent on baby sitting/child caring, Family and children
Ever used internet,Education n.e.c.
Household selected for water quality testing,family and children
Household selected for source water testing,family and children
[Peak Demand], Fuel and energy
Has electricity, Fuel and energy
Energy Consumption,Fuel and energy
[Hydro Generation], Fuel and energy
[Users of electricity], Fuel and energy
Fuel ID, Fuel and energy
Annual purchase quantity, Fuel and energy
Total annual production," Mining, manufacturing and construction"
Construction," Executive and legislative organs, financial and fiscal affairs, external affairs"
No. of Regular Paid Employees, Unemployment
Raw material unit," Mining, manufacturing and construction"
Total annual quantity purchase," Mining, manufacturing and construction"
Total annual amount purchase (Rs. in thousand)," Mining, manufacturing and construction"
Usual Work Hours per Week [Main Job], Unemployment
Usual Work Hours per Week [Other Jobs], Unemployment
Usual Work Hours per Week [Usual Total], Unemployment
Actual Work Hours per Week [Main Job], Unemployment
Actual Work Hours per Week [Other Jobs], Unemployment
Actual Work Hours per Week [Actual Total], Unemployment
Gap Between Usual and Actual Work Hours per Week, Unemployment
Main Reason for Working More Hours Last Week, Unemployment
Reason for Not Working More Hours in Last 7 Days, Unemployment
Additional Hours Wanted to Work in the Last 7 Days, Unemployment
Looked for More Work in the Last 30 Days, Unemployment
Total tourists arriving in Nepal, Economic affairs n.e.c.
Hotels and restaurants," Executive and legislative organs, financial and fiscal affairs, external affairs"
"Transport, storage and communications"," Executive and legislative organs, financial and fiscal affairs, external affairs"
[Estimation of national tourism employment], Other industries
Financial Reach, Economic affairs
Household bank account,R&D Social protection
Length of Road, Transport
Regional Road Network, Transport
Zonal Road Network, Transport
District Road Network, Transport
Average Annual Daily Traffic , Transport
Strategic Road Network, Transport
National Highway and Feeder Roads and their codes, Transport
Urban Roads, Transport
District Road Core Network, Transport
Manufacturing," Executive and legislative organs, financial and fiscal affairs, external affairs"
Main Sort of Work Done in the Last 7 Days [NSCO], Unemployment
Annual purchase amount (in thousand), Fuel and energy
[Graduate number in faculties], Tertiary education
Mobile Subscription,Communication
Fixed Subscription,Communication
Other Subscriptions,Communication
Having Radio, Housing and community amenities n.e.c.
Having Telephone, Housing and community amenities n.e.c.
Having Mobile Phone, Housing and community amenities n.e.c.
Household deposits bank,R&D Social protection
Taken loan from bank,R&D Social protection
Taken loan from informal sector,R&D Social protection
Main Product of the Place of Work [NSIC], Unemployment
 years to complete primary level (1-5), Pre-primary and primary education
 years to complete class 10, Secondary education
 no. of times the slc exam was given, Secondary education
Which sector do/did you primarily work?, Police services
Do you receive renumeration for this main job/work ?, Police services
How is/was you paid ?, Police services
What is the periodicity of the payment at your main work ?, Police services
How much did you earn last week from your main work ? (in Cash), Police services
How much did you earn last week from your main work ? (in Kind), Police services
Property Rights, R&D Public order and safety
Intellectual Property Rights, R&D Public order and safety
Diversion of Public Funds, Public order and safety n.e.c.
Public Trust in Politicians, Public order and safety n.e.c.
Irregular Payments and Bribes, Public order and safety n.e.c.
Judicial Independence, Public order and safety n.e.c.
Favoritism in decisions of government officials, Public order and safety n.e.c.
Wastefulness of government spending, Public order and safety n.e.c.
Burden of government regulation, Public order and safety n.e.c.
Efficiency of Legal Framework in Settling Disputes, Public order and safety n.e.c.
Efficiency of Legal Framework in Challenging Regulations, Public order and safety n.e.c.
Transparency of Government Policymaking, Public order and safety n.e.c.
Business Costs of Terrorism, Public order and safety n.e.c.
Business Costs of Crime and Violence, Public order and safety n.e.c.
Organized Crime, Public order and safety n.e.c.
Reliability of Police Services, Public order and safety n.e.c.
Ethnical Behavior of Firms, Public order and safety n.e.c.
Strength of Auditing and Reporting Standards, Public order and safety n.e.c.
Efficacy of Corporate Boards, Public order and safety n.e.c.
Protection of Minority Shareholders' Interest, Public order and safety n.e.c.
Strength of Investor Protection, Public order and safety n.e.c.
Quality of Overall Infrastructure, Economic affairs n.e.c.
Quality of Roads, Transport
Quality of Railroad Infrastructure, Transport
Quality of Port Infrastructure, Transport
Quality of Air Transport Infrastructure, Transport
Quality of Electricity Supply, Transport
Business Impact of Malaria, Public health services
Business Impact of Tuberculosis, Public health services
Business Impact of HIV/AIDS, Public health services
Quality of Primary Education, Pre-primary and primary education
Quality of Education System, Education n.e.c.
Quality of Math and Science Education, Education n.e.c.
Quality of Management Schools, Education n.e.c.
Internet Access in Schools, Education n.e.c.
Local Availability of Specialized Training Services, R&D Education
Extent of Staff Training, R&D Education
Intensity of Local Competition, Economic affairs n.e.c.
Extent of Market Dominance, Economic affairs n.e.c.
Effectiveness of Anti-Monopoly Policy, Public order and safety n.e.c.
Effect of Taxation on Incentives to Invest, General services
Agricultural policy costs," Agriculture, forestry, fishing and hunting"
Prevalence of non-tariff barriers, Health n.e.c.
Prevalence of foreign ownership, Economic affairs n.e.c.
Business impact of rules on FDI, Economic affairs n.e.c.
Burden of customs procedures, General public services
Degree of customer orientation, Public order and safety n.e.c.
Buyer sophistication, Public order and safety n.e.c.
Cooperation in labor-employer relations," General economic, commercial and labour affairs"
Flexibility of wage determination," General economic, commercial and labour affairs"
