Recipient Organization,deliverychannel,,
United Nations Volunteers Programme,Multilateral,,
United Peace Organization,NGOs and CSOs,,
United Rural Development Organization,Other,,
United States Agency for InterNational Development,Public sector,,
United States Catholic Conference,Other,,
United States Department of Agriculture,Public sector,,
United States Department of Defense,Public sector,,
United States Department of Health and Human Services,Public sector,,
United States Department of State,Public sector,,
United States of America,Public sector,,
United States Office for Foreign Disaster Assistance,Public sector,,
United Technologies Corporation,Other,,
United Way InterNational,NGOs and CSOs,,
United Way of Massachusetts Bay and Merrimack Valley ,NGOs and CSOs,,
United Way of Miami-Dade,Multilateral,,
UnitedHealth,Other,,
Unity and Cooperation for the Development of People,NGOs and CSOs,,
Unity and Cooperation for the Development of Peoples,NGOs and CSOs,,
Universal Intervention and Development Organization,NGOs and CSOs,,
Universal Network for Knowledge and Empowerment Agency,NGOs and CSOs,,
Universidad de Chile,NGOs and CSOs,,
Universidad de Las Villas,NGOs and CSOs,,
"Universidad Nacional a Distancia, Costa Rica",NGOs and CSOs,,
Universidad Nacional Autonoma de Honduras,NGOs and CSOs,,
Universitetet i Oslo,NGOs and CSOs,,
University of Capetown,NGOs and CSOs,,
University of Colorado,NGOs and CSOs,,
University of Geneva,NGOs and CSOs,,
University of Miami,NGOs and CSOs,,
University of Nebraska,NGOs and CSOs,,
University of Neuchâtel,NGOs and CSOs,,
University of Oxford - Refugee Studies Centre,NGOs and CSOs,,
University of Rhode Island/SUCCESS LWA,NGOs and CSOs,,
UniverSud-Liège,NGOs and CSOs,,
Univision,Other,,
UNMAS/UNDP,Multilateral,,
UNOCHA / UNDP,Multilateral,,
UNO-Flüchtlingshilfe e.V.,Multilateral,,
UNOPS/CDAP,Multilateral,,
UNRWA Friends Association Inc. USA,Multilateral,,
UNRWA Spanish Committee,Multilateral,,
Unspecified,Other,,
Unum,Other,,
UNVTF/Mine Action,Multilateral,,
Upper Nile Initiative and Development Organization,NGOs and CSOs,,
Upper Nile Kalaazar Eradication Association,NGOs and CSOs,,
UPR Info,Other,,
UPS Foundation,NGOs and CSOs,,
Urgence Rehabilitation et Developpement,NGOs and CSOs,,
Uruguay ,Public sector,,
Uruguay Red Cross,Red Cross,,
Uruguayan Red Cross,Red Cross,,
US Airways,Other,,
US Bancorp,Other,,
US Embassy,Public sector,,
US Forest Service,Public sector,,
US Fund for UNICEF,NGOs and CSOs,,
US Geological Survey,Public sector,,
USA for UNHCR,NGOs and CSOs,,
USA Friends of WFP,NGOs and CSOs,,
USA Friends Private,NGOs and CSOs,,
USA Fund for UNICEF,NGOs and CSOs,,
USAID Mission,Public sector,,
USAID Recipient,Public sector,,
USAID/ANE,Public sector,,
USAID/Angola,Public sector,,
USAID/Bangladesh,Public sector,,
USAID/Conakry,Public sector,,
USAID/Disaster Assistance Response Team,Public sector,,
USAID/DRC,Public sector,,
USAID/Ethiopia,Public sector,,
USAID/Guinea,Public sector,,
USAID/Haiti,Public sector,,
USAID/Indonesia,Public sector,,
USAID/Jamaica,Public sector,,
USAID/Kenya,Public sector,,
USAID/Khartoum,Public sector,,
USAID/Liberia,Public sector,,
USAID/Lilongwe,Public sector,,
USAID/Madagascar,Public sector,,
USAID/Malawi,Public sector,,
USAID/Nepal,Public sector,,
USAID/OTI,Public sector,,
USAID/Regional Economic Development Services Office            ,Public sector,,
USAID/Russia,Public sector,,
USAID/Senegal,Public sector,,
USAID/Somalia,Public sector,,
USAID/South Africa,Public sector,,
USAID/Sri Lanka,Public sector,,
USAID/Uganda,Public sector,,
USAID/West African Regional Programme,Public sector,,
USAID/Zimbabwe,Public sector,,
USAID’s Pastoralist Livelihoods Initiative,Public sector,,
USAR,Other,,
US-China Business Council,Other,,
Uzbekistan,Public sector,,
Uzbekistan (Government of),Public sector,,
VAF - Verein für Afghanistan Förderung ,NGOs and CSOs,,
Valero Energy/Ultramar,Other,,
Valid Nutrition,NGOs and CSOs,,
Vamos Adelante,NGOs and CSOs,,
Vans,Other,,
Vanuatu Red Cross,Red Cross,,
Vanuatu Red Cross Society,Red Cross,,
Various (details not yet provided),Other,,
Various Donors ,Other,,
Various Donors (details not yet provided),Other,,
Various Donors (private),Other,,
Various Recipients (details not yet provided),Other,,
Vårt land,Other,,
VAS,Other,,
VEH,Other,,
VEH/HAD,Other,,
Venable LLP,Other,,
Venezuela,Public sector,,
Venezuela Red Cross,Red Cross,,
Venezuelan Red Cross,Red Cross,,
Vento di Terra,NGOs and CSOs,,
Verdens Barn,NGOs and CSOs,,
Verein Bär und Leu,NGOs and CSOs,,
Verein f. hum. Hilfe Vaduz,Other,,
Verein für Aufbauhilfe Tambanevana,Other,,
Verein Hilfe fur Bangladesch,NGOs and CSOs,,
Verein Lichtblick ,NGOs and CSOs,,
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,NGOs and CSOs,,
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs and CSOs,,
Verizon Foundation,NGOs and CSOs,,
VETAID,NGOs and CSOs,,
Vétérinaire sans Frontieres,NGOs and CSOs,,
Vétérinaires sans Frontières (Belgium),NGOs and CSOs,,
Vétérinaires sans Frontières (Germany),NGOs and CSOs,,
Vétérinaires sans Frontières (Switzerland),NGOs and CSOs,,
Vetworks Eastern Africa,Other,,
VIC,Other,,
VICINI and the INICIA Foundation,NGOs and CSOs,,
Victims of Torture,NGOs and CSOs,,
Vie Sacree,NGOs and CSOs,,
Viet Nam,Public sector,,
Viet Nam Red Cross,Red Cross,,
Village Elders Group,Other,,
Visa,Other,,
VISION,NGOs and CSOs,,
Vision Hope,Other,,
Vision Hope International,NGOs and CSOs,,
Visions in Action,NGOs and CSOs,,
VITALITE PLUS,Other,,
Vitamin Shoppe,Other,,
VITOL,Other,,
"Vitoria-Gasteiz, Municipality of (Spain)",Public sector,,
Viva Rio,NGOs and CSOs,,
Vivamos Mejor,NGOs and CSOs,,
Vive Zene,NGOs and CSOs,,
Vodafone Group Foundation,NGOs and CSOs,,
VOICE ASBL,NGOs and CSOs,,
Voice of America,NGOs and CSOs,,
Voila Earthquake Relief Fund,NGOs and CSOs,,
Volens,NGOs and CSOs,,
Volontariato Internazionale per lo Sviluppo,NGOs and CSOs,,
Voluntariado Internacional para o Desenvolvimento Africano,NGOs and CSOs,,
Voluntary Health Association of India,Other,,
Voluntary Organisations in Cooperation in Emergencies,Other,,
Voluntary Service Overseas,NGOs and CSOs,,
Volunteer Corpes-Greek Firemen Replanters,Other,,
Volunteer Organization for the InterNational Co-operation,NGOs and CSOs,,
VREDESEILANDEN,NGOs and CSOs,,
VsF (CH) / PACE,Other,,
W.K. Kellogg Foundation,NGOs and CSOs,,
Waatasemu Charity Association,Other,,
Wabi Shelbelle Development,NGOs and CSOs,,
Wadi,NGOs and CSOs,,
Wahdat Rehabilitation and Development Organization for Afghan Women,Other,,
Wajir South Development Association,NGOs and CSOs,,
Wajir South Development Association ,NGOs and CSOs,,
Wakefern Food Corp. (ShopRite and PriceRite stores,Other,,
Walgreens,Other,,
Wal-Mart,Other,,
Walmart Canada,Other,,
Walmart Foundation,NGOs and CSOs,,
Walt Disney Corporation,Other,,
Waltraud Torossian-Brigasky,Other,,
WAM,Other,,
Wamo Relief and Rehabilitation Services,NGOs and CSOs,,
Waqf Alghanem and Othman mosques,Other,,
War Child ,NGOs and CSOs,,
War Child Canada,NGOs and CSOs,,
War Child Holland,NGOs and CSOs,,
War Child UK,NGOs and CSOs,,
War Torn Societies,Multilateral,,
Wardi Relief and Development Initiatives,NGOs and CSOs,,
Watan’s Social Technical Services Association,Other,,
Water and Sanitation Consortium,Other,,
Water for Life,NGOs and CSOs,,
Water Missions InterNational,NGOs and CSOs,,
WA-UK,NGOs and CSOs,,
Wawa Inc.,Other,,
WB/UNDP,Multilateral,,
We Effect,Other,,
Webster Bank,Other,,
WEF - World Editors Forum,Other,,
WEFA HUMANITARIAN RELIEF ORGANIZATION,Other,,
Wegman Family Charitable Foundation,NGOs and CSOs,,
"Weil, Gotshal & Manges LLP",Other,,
Welfare Association,NGOs and CSOs,,
"WellPoint, Inc.",Other,,
Wells Fargo & CO,Other,,
Wereld-missiehulp,Other,,
Werkgroep Nederland Srebrenica,NGOs and CSOs,,
Western Union Foundation,NGOs and CSOs,,
WEUDAM - WEU De-mining Assistance Mission,Other,,
Weyerhaeuser,Other,,
WFP Administered Trust Fund,Multilateral,,
WFP and NGO Partners,Other,,
WFP Immediate Response Account,Multilateral,,
WFP/SHA,Other,,
White Helmets Commission,Public sector,,
WHO/AFRO,Multilateral,,
WHO/OCHA,Multilateral,,
WHO/UNFPA,Multilateral,,
William and Flora Hewlett Foundation,NGOs and CSOs,,
William Gallagher Associates,Other,,
WilmerHale,Other,,
Wilton Park,NGOs and CSOs,,
Windle Trust,NGOs and CSOs,,
Windle Trust International,NGOs and CSOs,,
Windy InterNational Youth Foundation,NGOs and CSOs,,
Winn-Dixie Foundation,NGOs and CSOs,,
Winston & Strawn LLP,Other,,
WISAG,Other,,
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan ,NGOs and CSOs,,
Woman Kind Kenya,NGOs and CSOs,,
Women and Children Child Care Organization,NGOs and CSOs,,
Women And Health Alliance,NGOs and CSOs,,
Women for Women InterNational,NGOs and CSOs,,
Women Organization for Development & Capacity Building,Other,,
Women Welfare Organization Poonch,NGOs and CSOs,,
Women's Promotion and Human Development,NGOs and CSOs,,
World Agency of Planetary Monitoring and Earthquake Risk Reduction,NGOs and CSOs,,
World Agroforestry Centre,NGOs and CSOs,,
World Assembly of Muslim Youth,Other,,
WORLD ASSEMBLY OF MUSLIMS YOUTH,Other,,
World Association of Children's Friends,NGOs and CSOs,,
World Association of Newspapers and News Publishers,Other,,
World Bank,Multilateral,,
World Bank Group,Multilateral,,
World Care,NGOs and CSOs,,
World Church Relief Service,NGOs and CSOs,,
World Coalition Against the Death Penalty,Other,,
World Concern,NGOs and CSOs,,
World Concern Development Organisation,NGOs and CSOs,,
World Conference on Disaster Reduction,Multilateral,,
World Conference on Religions for Peace,Other,,
World Congress Against the Death Penalty,NGOs and CSOs,,
World Education,NGOs and CSOs,,
World Food Programme,Multilateral,,
World Health Organization,Multilateral,,
World Hope InterNational,NGOs and CSOs,,
World Humanitarian Forum,Other,,
World Islamic Economic Forum Foundation,Other,,
World Jewish Aid,NGOs and CSOs,,
WORLD LUTERAN FEDERATION - COLOMBIA,Other,,
World Meteorological Organization,Multilateral,,
World Mission Society Church of God,Other,,
World Organisation Against Torture,NGOs and CSOs,,
World Pharmacists,Other,,
World Rehabilitation Fund,NGOs and CSOs,,
World Relief,NGOs and CSOs,,
World Research Foundation,NGOs and CSOs,,
World Society for the Protection of Animals,NGOs and CSOs,,
World University Service,NGOs and CSOs,,
World University Service - Canada,NGOs and CSOs,,
World Vision  Netherlands,NGOs and CSOs,,
World Vision Angola,NGOs and CSOs,,
World Vision Australia,NGOs and CSOs,,
World Vision Canada,NGOs and CSOs,,
World Vision El Salvador,NGOs and CSOs,,
World Vision Germany,NGOs and CSOs,,
World Vision Hong Kong,NGOs and CSOs,,
World Vision InterNational,NGOs and CSOs,,
World Vision Ireland,NGOs and CSOs,,
World Vision Kenya,NGOs and CSOs,,
World Vision Korea,NGOs and CSOs,,
World Vision Pakistan,NGOs and CSOs,,
World Vision Philippines,NGOs and CSOs,,
World Vision Relief and Development  Inc.,NGOs and CSOs,,
World Vision South Sudan,NGOs and CSOs,,
World Vision Sri Lanka,NGOs and CSOs,,
World Vision Sudan,NGOs and CSOs,,
World Vision Support Offices,NGOs and CSOs,,
World Vision Taiwan,NGOs and CSOs,,
World Vision Uganda,NGOs and CSOs,,
World Vision UK,NGOs and CSOs,,
World Vision USA,NGOs and CSOs,,
World Vision Viet Nam,NGOs and CSOs,,
World Vision Zimbabwe,NGOs and CSOs,,
World Wildlife Fund,NGOs and CSOs,,
WorldFish,NGOs and CSOs,,
WPD,NGOs and CSOs,,
WRC - World Relief Corporation ,NGOs and CSOs,,
WSP InterNational,NGOs and CSOs,,
WTB InterNational Development,Other,,
Xcel Energy Foundation ,NGOs and CSOs,,
Xstrata AG,Other,,
YAKKUM Emergency Unit,NGOs and CSOs,,
Yasska Foundation,NGOs and CSOs,,
Yayasan Ananda Marga Indonesia,Other,,
Yayasan Dian Desa,Other,,
Yayasan HOPE Indonesia,NGOs and CSOs,,
Yele Haiti Foundation ,NGOs and CSOs,,
Yemen,Public sector,,
Yemen Family Care Association,NGOs and CSOs,,
Yemen Red Crescent Society,Red Cross,,
Yemen Women Union,NGOs and CSOs,,
YMCA,NGOs and CSOs,,
YME Foundation,NGOs and CSOs,,
Young Africans Development Action,Other,,
Young Welfare Society,NGOs and CSOs,,
Young Women's Christian Association/La Strada,Other,,
Youth Activity Organization,Other,,
Youth Alliance in Karamoja,NGOs and CSOs,,
Youth Development and Voluntary Work Association,NGOs and CSOs,,
Yum Brands Inc,Other,,
ZACF,Other,,
ZAF,Other,,
Zafar Cooperation Organization,NGOs and CSOs,,
Zambia,Public sector,,
Zambia Red Cross Society,Red Cross,,
Zamzam Foundation,NGOs and CSOs,,
Zanfha Initiative,Other,,
ZAWD - Organization for Humanitarian and Development,Other,,
ZAYED Foundation,NGOs and CSOs,,
ZIF - Center for InterNational Peace Operations,NGOs and CSOs,,
Zimbabwe,Public sector,,
Zimbabwe Red Cross,Red Cross,,
ZOA Refugee Care,NGOs and CSOs,,
"Zodiac of North America, Inc.",Other,,
Zukunft f. Kinder,Other,,
A.I.M.E! International e.V. (Deutschland),NGOs and CSOs,,
ACT Alliance / Lutheran World Federation Nepal,NGOs and CSOs,,
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs and CSOs,,
Afghanistan Center for Training and Development,NGOs and CSOs,,
Africa Development Corps,NGOs and CSOs,,
Africa Solidarity Trust Fund,Multilateral,,
African Rainbow Minerals,Other,,
Agence Humanitaire Africaine,Other,,
Airlink,Other,,
Alber Charity Society,Other,,
Aliko Dangote's Foundation,NGOs and CSOs,,
Alliance for International Medical Action,NGOs and CSOs,,
Asal Rural Development Organization,Other,,
Asociación Salvadoreña de Ayuda Humanitaria,NGOs and CSOs,,
Association de Lutte Contre le Sida,Other,,
"Association for Forests, Development and Conservation",NGOs and CSOs,,
Association Locale pour le Développement Intégral,NGOs and CSOs,,
"Association pour la Solidarité, le Développement et l'Intégration Sociale",NGOs and CSOs,,
Associazione Italiana per la Solidarietà tra I Popoli,NGOs and CSOs,,
Asylum Access,NGOs and CSOs,,
Atlas Alliance,NGOs and CSOs,,
Basic Awareness Rehabilitation & Networking,Other,,
BBC Media Action,NGOs and CSOs,,
Bent-e-Hawa Peace and Development Organization,NGOs and CSOs,,
Bilateral (affected government),Public sector,,
Buddhistforbundet,NGOs and CSOs,,
CAIPA,Public sector,,
Cairo Institute for Human Rights Studies,NGOs and CSOs,,
Cameroon Red Cross Society,Red Cross,,
Canadian Imperial Bank of Commerce,Other,,
CARE Luxembourg,NGOs and CSOs,,
CARGOMA,Other,,
Center for Applied Linguistics,NGOs and CSOs,,
Center for Women’s Legal Research and Consulting,NGOs and CSOs,,
Centers for Disease Control,Public sector,,
Centers for Disease Control Foundation,NGOs and CSOs,,
Centre de Support en Santé Internationale,NGOs and CSOs,,
Centro de Estudios y Prevencion de Desastres,NGOs and CSOs,,
"Cera Products, Inc",Other,,
Child Rights Connect,NGOs and CSOs,,
Cigna Foundation,NGOs and CSOs,,
Civic Coalition for Palestinian Rights in Jerusalem,NGOs and CSOs,,
Coca-Cola Foundation,Other,,
Community Development Organization,NGOs and CSOs,,
Community Media Network,NGOs and CSOs,,
Cooperative Housing Foundation International,NGOs and CSOs,,
Coordination Of Rehabilitation Services For Afghanistan,NGOs and CSOs,,
Crisis Action,NGOs and CSOs,,
Danish Mission Council Development,NGOs and CSOs,,
dawa Islamic organization,NGOs and CSOs,,
Demos Institute,NGOs and CSOs,,
Direct Relief,NGOs and CSOs,,
Ebola Response Multi-Partner Trust Fund,Multilateral,,
EcoBank,Other,,
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs and CSOs,,
Emergency ONG,NGOs and CSOs,,
EuropeAid,Public sector,,
European Commission's Humanitarian Aid and Civil Protection Department,Public sector,,
FilmAid,NGOs and CSOs,,
Fondation Mérieux,NGOs and CSOs,,
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,NGOs and CSOs,,
Framtiden i våre hender,NGOs and CSOs,,
France Terre d’Asile,NGOs and CSOs,,
Friends of UNFPA,NGOs and CSOs,,
Frontier Primary Health Care,NGOs and CSOs,,
Fundación Acción Contra el Hambre,NGOs and CSOs,,
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs and CSOs,,
Fundación Halü Bienestar Humano,NGOs and CSOs,,
German Doctors e.V.,NGOs and CSOs,,
German Toilet Organization e.V.,NGOs and CSOs,,
GHESKIO Centers,NGOs and CSOs,,
Global Aid Hand,NGOs and CSOs,,
Global Giving,NGOs and CSOs,,
Global Network for Disaster Reduction,NGOs and CSOs,,
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",NGOs and CSOs,,
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,NGOs and CSOs,,
Help Syria through the Winter Foundation,NGOs and CSOs,,
Hidig Relief And Development Organization,Other,,
"IHH-Humanitarian Relief Foundation, Turkey",NGOs and CSOs,,
InformAction,NGOs and CSOs,,
Innovative Humanitarian Solutions,NGOs and CSOs,,
Institut Européen de Coopération et de Développement,NGOs and CSOs,,
International Law and Policy Institute,NGOs and CSOs,,
International Procurement Agency,Other,,
International Renaissance Foundation,NGOs and CSOs,,
irshad and islah society lebanon,NGOs and CSOs,,
Islamic Center Society,NGOs and CSOs,,
John Dau Foundation,NGOs and CSOs,,
John Hopkins Center for Communication Programs,NGOs and CSOs,,
Jordan Engineering Association,Other,,
Just Peace Initiatives,NGOs and CSOs,,
Khazanah Nasional,Public sector,,
La Asociación Minga,NGOs and CSOs,,
Larry Page's Family Foundation,Other,,
Lead Development Agency,NGOs and CSOs,,
Lebanese Association for Development Al Majmoua,Other,,
Lebanese Institute for Democracy and Human Rights,NGOs and CSOs,,
Legatum Foundation,NGOs and CSOs,,
Liberia Petroleum Company,Other,,
Light for the World,NGOs and CSOs,,
Lutherian World Fund,NGOs and CSOs,,
Madrasati Initiative,Other,,
Makassed Philanthropic Islamic Association of Beirut,NGOs and CSOs,,
Masar,NGOs and CSOs,,
Médecins d'Afrique,NGOs and CSOs,,
Medical Teams International,NGOs and CSOs,,
Merck,Other,,
Mercury International,Other,,
Millennium Promise Japan,NGOs and CSOs,,
Mouvement non violent syrien,NGOs and CSOs,,
National Federation of UNESCO Association in Japan,NGOs and CSOs,,
National Oil Company of Liberia,Other,,
NCA+partners,Other,,
NetHope,NGOs and CSOs,,
NGO Coordination Committee for Iraq,NGOs and CSOs,,
Noon Charity Organization,NGOs and CSOs,,
Norwegian Medical Association,Other,,
Nyein (Shalom) Foundation,NGOs and CSOs,,
Open Society Foundations,NGOs and CSOs,,
"Organization for Refuge, Asylum and Migration",NGOs and CSOs,,
Palestinian Farmers Association,NGOs and CSOs,,
Palestinian Hydrology Group,NGOs and CSOs,,
Paul G. Allen,NGOs and CSOs,,
Peace Bridge Association,NGOs and CSOs,,
Philippine Jesuit Foundation,NGOs and CSOs,,
Plan Liberia,NGOs and CSOs,,
Poverty Eradication Initiative,Other,,
Prime Foundation,NGOs and CSOs,,
Programa de Reducción del Riesgo de Desastres,Public sector,,
Protecting Through Education,NGOs and CSOs,,
Public Health Initiative Liberia,Other,,
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,NGOs and CSOs,,
Reach Vulnerable,Other,,
Rebuild and Relief International NGO gGmbH,NGOs and CSOs,,
Refugee Consortium of Kenya,NGOs and CSOs,,
Relief Pakistan,NGOs and CSOs,,
René Moawad Foundation,NGOs and CSOs,,
Robert Wood Johnson Foundation,NGOs and CSOs,,
Rural Development Initiative Pakistan,NGOs and CSOs,,
Rural Initiatives in Sustainability and Empowerment,NGOs and CSOs,,
SADEL,Other,,
SAFDF,Other,,
Sawa Organization,NGOs and CSOs,,
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs and CSOs,,
Seplat Petroleum Development Company Plc,Other,,
Shafaq Rehabilitation Organization (SHA),Other,,
SHASSMEPPE,NGOs and CSOs,,
Sibro Organization for Development,NGOs and CSOs,,
Sierra Minerals Holdings/Vimetco,Other,,
Social Services Program,NGOs and CSOs,,
Société Anglogold Ashanti de Guinée,Other,,
Society for Human Emancipation and Development,Other,,
Solo Enviro Beautification,NGOs and CSOs,,
Soryiat,Other,,
Start Fund,NGOs and CSOs,,
Stiftelsen Litteraturhuset,Other,,
Support for Peace and Education Development Program,NGOs and CSOs,,
Syria Sanad,NGOs and CSOs,,
Taghyeer,Other,,
Taiwan ICDF,Public sector,,
The Competitiveness,Other,,
The Equal Rights Trust,Other,,
The Foundation for the Refugee Education Trust,NGOs and CSOs,,
Tides Center,NGOs and CSOs,,
Tompran Foundation,NGOs and CSOs,,
Tony Elumelu Foundation,NGOs and CSOs,,
UN Mission for Ebola Emergency Response,Multilateral,,
UN TF for Int'l Coop&Dev,Multilateral,,
Union des Organisations Syrienne de Secours Médicaux,NGOs and CSOs,,
United Israel Appeal,Other,,
United Nations Department of Safety and Security,Multilateral,,
Universal Rights Group,NGOs and CSOs,,
Urgence Solidarité Syrie,NGOs and CSOs,,
VENRO,NGOs and CSOs,,
Vet-Care Organization,NGOs and CSOs,,
Virgin Unite,NGOs and CSOs,,
Vitalité Plus,NGOs and CSOs,,
VNG International,Other,,
VOLVO,Other,,
Wakachiai Project,Other,,
WELLCOME TRUST,NGOs and CSOs,,
Women Empowerment Organization,NGOs and CSOs,,
Women's Education Partnership,NGOs and CSOs,,
Women's Evangelical Association of Bossangoa,NGOs and CSOs,,
Women's Refugee Commission,NGOs and CSOs,,
World Council of Churches,Other,,
World Neighbors,NGOs and CSOs,,
World Relief Corporation,NGOs and CSOs,,
Yemen Medical Charitable Society,NGOs and CSOs,,
Youth Resource Centre,Other,,
ZOA,NGOs and CSOs,,
ABAAD-Resource Center for Gender Equality,NGOs and CSOs,,
Abdel Mohsen Qattan Foundation,NGOs and CSOs,,
Abs Development for Women and Children,NGOs and CSOs,,
Action for Development,NGOs and CSOs,,
Action for Peace and Sustainable Development,NGOs and CSOs,,
action medeor e.V.,NGOs and CSOs,,
Advocates Coalition for Rights and Development,NGOs and CSOs,,
Afghanistankomiteen i Norge,NGOs and CSOs,,
Agency for Assistance and Development of Afghanistan,NGOs and CSOs,,
Agricultural Development Association,NGOs and CSOs,,
Akkar Network for Development,NGOs and CSOs,,
Asociacion Ben por la Infancia,NGOs and CSOs,,
Asociación de Trabajadores y Tecnicos Sin Fronteras,NGOs and CSOs,,
Asociación ONGD Cives Mundi,NGOs and CSOs,,
ASSABIL,NGOs and CSOs,,
Associate in Community Development,NGOs and CSOs,,
Association Agropastorale de NDA,NGOs and CSOs,,
Association Centrafricaine pour le Développement Economique et Social,NGOs and CSOs,,
Association des Cadres Musulmans de Centrafrique,NGOs and CSOs,,
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs and CSOs,,
Association for Integrated Rural Development,NGOs and CSOs,,
Association HIMAYA,NGOs and CSOs,,
Association LRC,Other,,
Association Medina,NGOs and CSOs,,
Associazione Internazionale Volontari Laici,NGOs and CSOs,,
Atlasalliansen,NGOs and CSOs,,
Basmeh and Zeitooneh - Lebanese Association,NGOs and CSOs,,
Brigadas Internacionales de Paz,NGOs and CSOs,,
Care for Children and Old Age in South Sudan,NGOs and CSOs,,
Caribbean Disaster Emergency Management Agency,Multilateral,,
Caritas Chad,NGOs and CSOs,,
Centre Libanais des Droits Humains,NGOs and CSOs,,
Centro de Estudios Rurales y de Agricultura Internacional,NGOs and CSOs,,
Christian Children's Fund of Canada,NGOs and CSOs,,
Community Development Association,NGOs and CSOs,,
Community in Need Aid,NGOs and CSOs,,
Development Fund,NGOs and CSOs,,
DIGNI,NGOs and CSOs,,
Dominica Red Cross Society,NGOs and CSOs,,
Duhok Organization for Volunteer Youth,NGOs and CSOs,,
EducAid Onlus,NGOs and CSOs,,
Education Health Social Awareness and Rehabilitation,NGOs and CSOs,,
Estonian Refugee Council,NGOs and CSOs,,
European Meeting Centre - Nowy Staw Foundation,NGOs and CSOs,,
Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs and CSOs,,
Famine Early Warning Sytem,NGOs and CSOs,,
Fangak Community Development Initiative,NGOs and CSOs,,
Fashoda Youth Forum,NGOs and CSOs,,
Foyer des Jeunes de Morne l'Hopital,NGOs and CSOs,,
Friends of Children Society,NGOs and CSOs,,
Friendship Luxembourg,NGOs and CSOs,,
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",NGOs and CSOs,,
Fundación Ojos del Mundo,NGOs and CSOs,,
Fundación Plan,NGOs and CSOs,,
GFZ German Research Centre,NGOs and CSOs,,
Global Family,NGOs and CSOs,,
Health Equity Initiatives Sdn Bhd,NGOs and CSOs,,
Heifer International,NGOs and CSOs,,
Hujra Village Support Organization,NGOs and CSOs,,
Humanitarian Quality Assurance Initiative,NGOs and CSOs,,
IHRA,Multilateral,,
Impact Health Organization,NGOs and CSOs,,
"Institute for Development, Research, Advocacy and Applied Care",NGOs and CSOs,,
Interchurch Medical Assistance World Health,NGOs and CSOs,,
International Eurasia Press Fund,NGOs and CSOs,,
IsraAID,NGOs and CSOs,,
Japan Campaign for children of Palestine,NGOs and CSOs,,
Japan International Volunteer Center,NGOs and CSOs,,
Japan Platform,Other,,
Joint Aid Management International,NGOs and CSOs,,
Jordanian National Commission for Women,Public sector,,
Kachin Baptist Convention,NGOs and CSOs,,
Khwendo Kor,NGOs and CSOs,,
Labena Organization for Women Development Aid Capacity Building,NGOs and CSOs,,
MADAD FUND,Public sector,,
Makhzoumi Foundation,NGOs and CSOs,,
Manos Unidas,NGOs and CSOs,,
Mena Organization for Services Advocacy integration and Capacity Building,NGOs and CSOs,,
Ministry of Education and Higher Education,Public sector,,
Monastery Saint James the Mutilated,NGOs and CSOs,,
Myanmar Health Assistant Association,NGOs and CSOs,,
Myanmar Heart Development Organization,NGOs and CSOs,,
National Demining Units Organization,NGOs and CSOs,,
NGO Free Ukraine,NGOs and CSOs,,
NGO Ukrainian Cultural Center,NGOs and CSOs,,
Norwegian Capacity,NGOs and CSOs,,
Nova - Centre per la Innovació Social / NOVACT,NGOs and CSOs,,
One Step Further,NGOs and CSOs,,
Organization for Research and Community Development,NGOs and CSOs,,
Organization for Voluntary Humanitarian Assistance Programme,NGOs and CSOs,,
OVERSEAS-Onlus,NGOs and CSOs,,
Oxfam Intermon,NGOs and CSOs,,
Oxfam/Community Aid Abroad/Intermon/Novib,NGOs and CSOs,,
Parlement des Jeunes Rwandais,NGOs and CSOs,,
Pearl of Africa Environment,NGOs and CSOs,,
People Empowerment & Consulting Enterprise,NGOs and CSOs,,
Person in Need Relief Mission,NGOs and CSOs,,
Professionals in Humanitarian Assistance and Protection,NGOs and CSOs,,
Real Medicine Foundation,NGOs and CSOs,,
Rebuild Iraq Recruitment Program,NGOs and CSOs,,
Reform Society,Other,,
Rehabilitation Education And Community Health,NGOs and CSOs,,
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs and CSOs,,
Rural Community Action for Peace and Development,NGOs and CSOs,,
Rural Development Initiative South Sudan,NGOs and CSOs,,
Save Youth Future Society,NGOs and CSOs,,
Secretariado Diocesano de Pastoral Social,NGOs and CSOs,,
Society for Human and Environmental Development,NGOs and CSOs,,
Somalia Resilience Program,NGOs and CSOs,,
Standard Alliance,NGOs and CSOs,,
Sudanese Organization for Rehabilitation and Construction,NGOs and CSOs,,
