Recipient Organization,recipientcodename,
Ulsan Metropolitan City,DAC governments,
UN Action Against Sexual Violence in Conflict,UN Multi,
UN Agencies (details not yet provided) ,UN Multi,
UN Agencies and NGOs (details not yet provided),other,
UN Agencies and Red Cross (details not yet provided),other,
UN Agencies and Red Cross (details not yet provided) ,other,
"UN Agencies, NGOs and Red Cross (details not yet provided)",other,
"UN Agencies, NGOs and/or Red Cross (details not yet provided)",UN Multi,
UN Assistance Programme to Afghanistan,UN Multi,
UN Central Fund for Influenza Action,UN Multi,
UN Committee on Missing Persons,UN Multi,
UN Delivering AS ONE,UN Multi,
UN Economic Commission for Latin America,UN Multi,
Un Enfant Par La Main,NGOs,
UN Foundation,foundations,
UN GENERAL TRUST FUND,UN Multi,
UN Human Security Trust Fund,UN Multi,
UN Institute,UN Multi,
UN Mine Action Program,UN Multi,
UN Mission in Sierra Leone,UN Multi,
UN Peacebuilding Fund,UN Multi,
Un Ponte Per ,NGOs,
UN Programme on HIV/AIDS,UN Multi,
UN Resident Coordinator's Office,UN Multi,
UN Spouses Bazaar,UN Multi,
UN Stabilization and Recovery - DRC,UN Multi,
UN Technical Cooperative Activities,UN Multi,
Un Techo Para Mi Pais,UN Multi,
UN Trust Fund,UN Multi,
UN Voluntary Fund for Indigenous Populations,UN Multi,
UN Voluntary Trust Fund for Technical Cooperation,UN Multi,
UN Women's Guild,UN Multi,
Unallocated Pledges,other,
UNAMSIL/UNDP,UN Multi,
UNAVEM/MONUA,UN Multi,
UNCO / UNOCHA,UN Multi,
Underwriters Laboratories,private sector corporations,
UNDG Iraq Trust Fund,UN Multi,
UNDP Administered Trust Fund,UN Multi,
UNDP for UNDSS,UN Multi,
UNDP TRAC 1.1.3,UN Multi,
UNDP/BCPR (TRAC 3),UN Multi,
UNDP/IOM,UN Multi,
UNDP/PAPP,UN Multi,
UNDP/Skills Consortium,UN Multi,
UNDP/UNCHS,UN Multi,
UNDP/UNDMTP,UN Multi,
UNDP/UNDSS,UN Multi,
UNDP/UN-HABITAT,UN Multi,
UNDP/UNHCR,UN Multi,
UNDP/UNICEF,UN Multi,
UN-EUE,UN Multi,
UNFPA / UNIFEM,UN Multi,
UNFPA/UNAIDS,UN Multi,
UNFPA/WFP,UN Multi,
UNICEF National Committee/Andorra,NGOs,
UNICEF National Committee/Australia,NGOs,
UNICEF National Committee/Austria,NGOs,
UNICEF National Committee/Belgium,NGOs,
UNICEF National Committee/Canada,NGOs,
UNICEF National Committee/Czech Republic,NGOs,
UNICEF National Committee/Denmark,NGOs,
UNICEF National Committee/Estonia,NGOs,
UNICEF National Committee/Finland,NGOs,
UNICEF National Committee/France,NGOs,
UNICEF National Committee/Germany,NGOs,
UNICEF National Committee/Hellenic,NGOs,
UNICEF National Committee/Hong Kong,NGOs,
UNICEF National Committee/Hungary,NGOs,
UNICEF National Committee/Iceland,NGOs,
UNICEF National Committee/Indonesia,NGOs,
UNICEF National Committee/Ireland,NGOs,
UNICEF National Committee/Israel,NGOs,
UNICEF National Committee/Italy,NGOs,
UNICEF National Committee/Japan,NGOs,
UNICEF National Committee/Korea (Republic of),NGOs,
UNICEF National Committee/Latvia,NGOs,
UNICEF National Committee/Lithuania,NGOs,
UNICEF National Committee/Luxembourg,NGOs,
UNICEF National Committee/Netherlands,NGOs,
UNICEF National Committee/New Zealand,NGOs,
UNICEF National Committee/Norway,NGOs,
UNICEF National Committee/Oman,NGOs,
UNICEF National Committee/Poland,NGOs,
UNICEF National Committee/Portugal,NGOs,
UNICEF National Committee/San Marino,NGOs,
UNICEF National Committee/Slovakia,NGOs,
UNICEF National Committee/Slovenia,NGOs,
UNICEF National Committee/Spain,UN Multi,
UNICEF National Committee/Sweden,NGOs,
UNICEF National Committee/Switzerland,NGOs,
UNICEF National Committee/Turkey,NGOs,
UNICEF National Committee/United Kingdom,NGOs,
UNICEF National Committee/USA (US Fund for UNICEF),NGOs,
UNICEF National Committees,UN Multi,
UNICEF/FALU,UN Multi,
UNICEF/FAO,UN Multi,
UNICEF/UNDSS,UN Multi,
UNICEF/UNFPA/WHO,UN Multi,
UNICEF/UNHCR,UN Multi,
UNICEF/UNMAS,UN Multi,
UNICEF/WFP,UN Multi,
UNICEF/WFP/UNDP/FAO/WHO,UN Multi,
UNICEF/WHO,UN Multi,
Unilever,private sector corporations,
Union Bank Foundation,foundations,
Union Des Organisations Syrienne de Secours Medicaux,other,
Union Nationale des Associations Diocesaines de Secours et Developpement,other,
Union of Agricultural Work Committees,NGOs,
Union of Health Work Committees,other,
Union of Relief Organizations – Lebanon,private individual organisations,
Union of South American Nations,National government,
Union of Sudan African Parties,Other multi,
Uniqlo,private sector corporations,
Unité de Recherche et d'Action Médico Légale,academia/think/research,
UNITEC,other,
United Arab Emirates,National government,
United Arab Emirates Red Crescent,red cross,
United Church of Canada,NGOs,
United Islamic Center,academia/think/research,
United Kingdom,DAC governments,
United Kingdom ,DAC governments,
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",DAC governments,
United Kingdom Department for InterNational Development,DAC governments,
United Kingdom Ministry of Defence,DAC governments,
United Kingdom Red Cross ,red cross,
United Methodist Church,private individual organisations,
United Methodist Committee on Relief,NGOs,
United Missions Mission in Liberia Irish Battalion,UN Multi,
United Nations,UN Multi,
United Nations Advance Mission in Sudan,UN Multi,
United Nations Angola Verification Mission,UN Multi,
United Nations assessed contributions,UN Multi,
United Nations Assistance Mission for Afghanistan,UN Multi,
United Nations Assistance Mission in East Timor,UN Multi,
United Nations Assistance Mission in Iraq,UN Multi,
United Nations Association in Canada,UN Multi,
United Nations Children's Fund,UN Multi,
United Nations Committee on Missing Persons,UN Multi,
United Nations Corps of Guards in Iraq,UN Multi,
United Nations Department of Peace-Keeping Operations,UN Multi,
United Nations Dept of Safety and Security ,UN Multi,
United Nations Development Fund for Women,UN Multi,
United Nations Development Group Office,UN Multi,
United Nations Development Programme,UN Multi,
United Nations Development Programme - East Timor,UN Multi,
"United Nations Development Programme / Rehabilitation, Reconstruction and Development Programme",UN Multi,
United Nations Disaster Assessment and Coordination,UN Multi,
United Nations Disaster Management Team,UN Multi,
United Nations Disengagement Observer Force,UN Multi,
United Nations Economic and Social Commission for Asia and the Pacific,UN Multi,
"United Nations Educational, Scientific and Cultural Organization",UN Multi,
United Nations Entity for Gender Equality and the Empowerment of Women,UN Multi,
United Nations Environment Programme,UN Multi,
United Nations Foundation,UN Multi,
United Nations Fund for InterNational Partnerships,UN Multi,
United Nations High Commissioner for Refugees,UN Multi,
United Nations Human Settlements Programme (UN-HABITAT),UN Multi,
United Nations Humanitarian Air Service,UN Multi,
United Nations Humanitarian Information Centre,UN Multi,
United Nations Humanitarian Response Depot ,UN Multi,
United Nations Industrial Development Organization,UN Multi,
United Nations Institute for Disarmament Research,UN Multi,
United Nations Institute for Training and Research,UN Multi,
United Nations Integrated Office in Sierra Leone ,UN Multi,
United Nations InterNational Drug Control Programme,UN Multi,
United Nations InterNational Research and Training Institute for the Advance of Women,UN Multi,
United Nations Joint Logistics Centre,UN Multi,
United Nations Joint Programme on HIV/AIDS,UN Multi,
United Nations Mediation Support Unit,UN Multi,
United Nations Mine Action Coordination Center (DRC),UN Multi,
United Nations Mine Action Service,UN Multi,
United Nations Mission in Ethiopia and Eritrea,UN Multi,
United Nations Mission in Kosovo,UN Multi,
United Nations Mission in Sudan,UN Multi,
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",UN Multi,
United Nations Mission in Timor-Leste,UN Multi,
United Nations Mission of Support in East Timor,UN Multi,
United Nations Observer Mission in Georgia,UN Multi,
United Nations Office for Disarmament Affairs,UN Multi,
United Nations Office for Project Services,UN Multi,
United Nations Office in Burundi,UN Multi,
United Nations Office of Legal Affairs,UN Multi,
United Nations Office on Drugs and Crime,UN Multi,
United Nations Operation Programme Support,UN Multi,
United Nations Operational Satellite Applications Programme,UN Multi,
United Nations Peacekeeping Force in Cyprus,UN Multi,
United Nations Political Office for Somalia,UN Multi,
United Nations Population Fund,UN Multi,
United Nations Register of Damage,UN Multi,
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN Multi,
United Nations Special Court for Sierra Leone,UN Multi,
United Nations Transitional Authority in East Timor,UN Multi,
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,UN Multi,
United Nations Voluntary Trust Fund on Mine Action,UN Multi,
United Nations Volunteers Programme,UN Multi,
United Peace Organization,NGOs,
United Rural Development Organization,private individual organisations,
United States Agency for InterNational Development,DAC governments,
United States Catholic Conference,other,
United States Department of Agriculture,DAC governments,
United States Department of Defense,DAC governments,
United States Department of Health and Human Services,DAC governments,
United States Department of State,DAC governments,
United States of America,DAC governments,
United States Office for Foreign Disaster Assistance,DAC governments,
United Technologies Corporation,private sector corporations,
United Way InterNational,NGOs,
United Way of Massachusetts Bay and Merrimack Valley ,NGOs,
United Way of Miami-Dade,UN Multi,
UnitedHealth,private sector corporations,
Unity and Cooperation for the Development of People,NGOs,
Unity and Cooperation for the Development of Peoples,NGOs,
Universal Intervention and Development Organization,NGOs,
Universal Network for Knowledge and Empowerment Agency,NGOs,
Universidad de Chile,academia/think/research,
Universidad de Las Villas,academia/think/research,
"Universidad Nacional a Distancia, Costa Rica",academia/think/research,
Universidad Nacional Autonoma de Honduras,academia/think/research,
Universitetet i Oslo,academia/think/research,
University of Capetown,academia/think/research,
University of Colorado,academia/think/research,
University of Geneva,academia/think/research,
University of Miami,academia/think/research,
University of Nebraska,academia/think/research,
University of Neuchâtel,academia/think/research,
University of Oxford - Refugee Studies Centre,academia/think/research,
University of Rhode Island/SUCCESS LWA,academia/think/research,
UniverSud-Liège,academia/think/research,
Univision,private sector corporations,
UNMAS/UNDP,UN Multi,
UNOCHA / UNDP,UN Multi,
UNO-Flüchtlingshilfe e.V.,UN Multi,
UNOPS/CDAP,UN Multi,
UNRWA Friends Association Inc. USA,UN Multi,
UNRWA Spanish Committee,UN Multi,
Unspecified,other,
Unum,private sector corporations,
UNVTF/Mine Action,UN Multi,
Upper Nile Initiative and Development Organization,NGOs,
Upper Nile Kalaazar Eradication Association,NGOs,
UPR Info,other,
UPS Foundation,foundations,
Urgence Rehabilitation et Developpement,NGOs,
Uruguay ,National government,
Uruguay Red Cross,red cross,
Uruguayan Red Cross,red cross,
US Airways,private sector corporations,
US Bancorp,private sector corporations,
US Embassy,DAC governments,
US Forest Service,DAC governments,
US Fund for UNICEF,NGOs,
US Geological Survey,DAC governments,
USA for UNHCR,NGOs,
USA Friends of WFP,NGOs,
USA Friends Private,NGOs,
USA Fund for UNICEF,NGOs,
USAID Mission,DAC governments,
USAID Recipient,DAC governments,
USAID/ANE,DAC governments,
USAID/Angola,DAC governments,
USAID/Bangladesh,DAC governments,
USAID/Conakry,DAC governments,
USAID/Disaster Assistance Response Team,DAC governments,
USAID/DRC,DAC governments,
USAID/Ethiopia,DAC governments,
USAID/Guinea,DAC governments,
USAID/Haiti,DAC governments,
USAID/Indonesia,DAC governments,
USAID/Jamaica,DAC governments,
USAID/Kenya,DAC governments,
USAID/Khartoum,DAC governments,
USAID/Liberia,DAC governments,
USAID/Lilongwe,DAC governments,
USAID/Madagascar,DAC governments,
USAID/Malawi,DAC governments,
USAID/Nepal,DAC governments,
USAID/OTI,DAC governments,
USAID/Regional Economic Development Services Office            ,DAC governments,
USAID/Russia,DAC governments,
USAID/Senegal,DAC governments,
USAID/Somalia,DAC governments,
USAID/South Africa,DAC governments,
USAID/Sri Lanka,DAC governments,
USAID/Uganda,DAC governments,
USAID/West African Regional Programme,DAC governments,
USAID/Zimbabwe,DAC governments,
USAID’s Pastoralist Livelihoods Initiative,DAC governments,
USAR,private individual organisations,
US-China Business Council,private sector corporations,
Uzbekistan,National government,
Uzbekistan (Government of),National government,
VAF - Verein für Afghanistan Förderung ,NGOs,
Valero Energy/Ultramar,private sector corporations,
Valid Nutrition,NGOs,
Vamos Adelante,NGOs,
Vans,private sector corporations,
Vanuatu Red Cross,red cross,
Vanuatu Red Cross Society,red cross,
Various (details not yet provided),other,
Various Donors ,other,
Various Donors (details not yet provided),other,
Various Donors (private),other,
Various Recipients (details not yet provided),other,
Vårt land,private sector corporations,
VAS,other,
VEH,other,
VEH/HAD,other,
Venable LLP,private sector corporations,
Venezuela,National government,
Venezuela Red Cross,red cross,
Venezuelan Red Cross,red cross,
Vento di Terra,NGOs,
Verdens Barn,NGOs,
Verein Bär und Leu,NGOs,
Verein f. hum. Hilfe Vaduz,other,
Verein für Aufbauhilfe Tambanevana,private sector corporations,
Verein Hilfe fur Bangladesch,NGOs,
Verein Lichtblick ,NGOs,
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,NGOs,
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs,
Verizon Foundation,foundations,
VETAID,NGOs,
Vétérinaire sans Frontieres,NGOs,
Vétérinaires sans Frontières (Belgium),NGOs,
Vétérinaires sans Frontières (Germany),NGOs,
Vétérinaires sans Frontières (Switzerland),NGOs,
Vetworks Eastern Africa,private individual organisations,
VIC,other,
VICINI and the INICIA Foundation,foundations,
Victims of Torture,NGOs,
Vie Sacree,NGOs,
Viet Nam,National government,
Viet Nam Red Cross,red cross,
Village Elders Group,other,
Visa,private sector corporations,
VISION,NGOs,
Vision Hope,private sector corporations,
Vision Hope International,NGOs,
Visions in Action,NGOs,
VITALITE PLUS,other,
Vitamin Shoppe,private sector corporations,
VITOL,private sector corporations,
"Vitoria-Gasteiz, Municipality of (Spain)",DAC governments,
Viva Rio,NGOs,
Vivamos Mejor,NGOs,
Vive Zene,NGOs,
Vodafone Group Foundation,foundations,
VOICE ASBL,NGOs,
Voice of America,NGOs,
Voila Earthquake Relief Fund,foundations,
Volens,NGOs,
Volontariato Internazionale per lo Sviluppo,NGOs,
Voluntariado Internacional para o Desenvolvimento Africano,NGOs,
Voluntary Health Association of India,other,
Voluntary Organisations in Cooperation in Emergencies,private individual organisations,
Voluntary Service Overseas,NGOs,
Volunteer Corpes-Greek Firemen Replanters,other,
Volunteer Organization for the InterNational Co-operation,NGOs,
VREDESEILANDEN,NGOs,
VsF (CH) / PACE,other,
W.K. Kellogg Foundation,foundations,
Waatasemu Charity Association,other,
Wabi Shelbelle Development,NGOs,
Wadi,NGOs,
Wahdat Rehabilitation and Development Organization for Afghan Women,other,
Wajir South Development Association,NGOs,
Wajir South Development Association ,NGOs,
Wakefern Food Corp. (ShopRite and PriceRite stores,private sector corporations,
Walgreens,private sector corporations,
Wal-Mart,private sector corporations,
Walmart Canada,private sector corporations,
Walmart Foundation,foundations,
Walt Disney Corporation,private sector corporations,
Waltraud Torossian-Brigasky,other,
WAM,other,
Wamo Relief and Rehabilitation Services,NGOs,
Waqf Alghanem and Othman mosques,private individual organisations,
War Child ,NGOs,
War Child Canada,NGOs,
War Child Holland,NGOs,
War Child UK,NGOs,
War Torn Societies,UN Multi,
Wardi Relief and Development Initiatives,NGOs,
Watan’s Social Technical Services Association,other,
Water and Sanitation Consortium,other,
Water for Life,NGOs,
Water Missions InterNational,NGOs,
WA-UK,NGOs,
Wawa Inc.,private sector corporations,
WB/UNDP,UN Multi,
We Effect,other,
Webster Bank,private sector corporations,
WEF - World Editors Forum,private individual organisations,
WEFA HUMANITARIAN RELIEF ORGANIZATION,other,
Wegman Family Charitable Foundation,foundations,
"Weil, Gotshal & Manges LLP",private sector corporations,
Welfare Association,NGOs,
"WellPoint, Inc.",private sector corporations,
Wells Fargo & CO,private sector corporations,
Wereld-missiehulp,private individual organisations,
Werkgroep Nederland Srebrenica,NGOs,
Western Union Foundation,foundations,
WEUDAM - WEU De-mining Assistance Mission,private individual organisations,
Weyerhaeuser,private sector corporations,
WFP Administered Trust Fund,UN Multi,
WFP and NGO Partners,other,
WFP Immediate Response Account,UN Multi,
WFP/SHA,other,
White Helmets Commission,National government,
WHO/AFRO,UN Multi,
WHO/OCHA,UN Multi,
WHO/UNFPA,UN Multi,
William and Flora Hewlett Foundation,foundations,
William Gallagher Associates,private individual organisations,
WilmerHale,private sector corporations,
Wilton Park,academia/think/research,
Windle Trust,NGOs,
Windle Trust International,NGOs,
Windy InterNational Youth Foundation,foundations,
Winn-Dixie Foundation,foundations,
Winston & Strawn LLP,private sector corporations,
WISAG,private sector corporations,
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan ,NGOs,
Woman Kind Kenya,NGOs,
Women and Children Child Care Organization,NGOs,
Women And Health Alliance,NGOs,
Women for Women InterNational,NGOs,
Women Organization for Development & Capacity Building,private individual organisations,
Women Welfare Organization Poonch,NGOs,
Women's Promotion and Human Development,NGOs,
World Agency of Planetary Monitoring and Earthquake Risk Reduction,academia/think/research,
World Agroforestry Centre,academia/think/research,
World Assembly of Muslim Youth,private individual organisations,
WORLD ASSEMBLY OF MUSLIMS YOUTH,other,
World Association of Children's Friends,NGOs,
World Association of Newspapers and News Publishers,private individual organisations,
World Bank,Other multi,
World Bank Group,Other multi,
World Care,NGOs,
World Church Relief Service,NGOs,
World Coalition Against the Death Penalty,private individual organisations,
World Concern,NGOs,
World Concern Development Organisation,NGOs,
World Conference on Disaster Reduction,UN Multi,
World Conference on Religions for Peace,other,
World Congress Against the Death Penalty,academia/think/research,
World Education,NGOs,
World Food Programme,UN Multi,
World Health Organization,UN Multi,
World Hope InterNational,NGOs,
World Humanitarian Forum,other,
World Islamic Economic Forum Foundation,private individual organisations,
World Jewish Aid,NGOs,
WORLD LUTERAN FEDERATION - COLOMBIA,private individual organisations,
World Meteorological Organization,UN Multi,
World Mission Society Church of God,private individual organisations,
World Organisation Against Torture,NGOs,
World Pharmacists,private individual organisations,
World Rehabilitation Fund,NGOs,
World Relief,NGOs,
World Research Foundation,foundations,
World Society for the Protection of Animals,NGOs,
World University Service,academia/think/research,
World University Service - Canada,NGOs,
World Vision  Netherlands,NGOs,
World Vision Angola,NGOs,
World Vision Australia,NGOs,
World Vision Canada,NGOs,
World Vision El Salvador,NGOs,
World Vision Germany,NGOs,
World Vision Hong Kong,NGOs,
World Vision InterNational,NGOs,
World Vision Ireland,NGOs,
World Vision Kenya,NGOs,
World Vision Korea,NGOs,
World Vision Pakistan,NGOs,
World Vision Philippines,NGOs,
World Vision Relief and Development  Inc.,NGOs,
World Vision South Sudan,NGOs,
World Vision Sri Lanka,NGOs,
World Vision Sudan,NGOs,
World Vision Support Offices,NGOs,
World Vision Taiwan,NGOs,
World Vision Uganda,NGOs,
World Vision UK,NGOs,
World Vision USA,NGOs,
World Vision Viet Nam,NGOs,
World Vision Zimbabwe,NGOs,
World Wildlife Fund,NGOs,
WorldFish,academia/think/research,
WPD,NGOs,
WRC - World Relief Corporation ,NGOs,
WSP InterNational,NGOs,
WTB InterNational Development,private sector corporations,
Xcel Energy Foundation ,foundations,
Xstrata AG,private sector corporations,
YAKKUM Emergency Unit,NGOs,
Yasska Foundation,foundations,
Yayasan Ananda Marga Indonesia,other,
Yayasan Dian Desa,other,
Yayasan HOPE Indonesia,NGOs,
Yele Haiti Foundation ,foundations,
Yemen,National government,
Yemen Family Care Association,NGOs,
Yemen Red Crescent Society,red cross,
Yemen Women Union,NGOs,
YMCA,NGOs,
YME Foundation,foundations,
Young Africans Development Action,private individual organisations,
Young Welfare Society,NGOs,
Young Women's Christian Association/La Strada,private individual organisations,
Youth Activity Organization,other,
Youth Alliance in Karamoja,NGOs,
Youth Development and Voluntary Work Association,NGOs,
Yum Brands Inc,private sector corporations,
ZACF,private individual organisations,
ZAF,other,
Zafar Cooperation Organization,NGOs,
Zambia,National government,
Zambia Red Cross Society,red cross,
Zamzam Foundation,NGOs,
Zanfha Initiative,private individual organisations,
ZAWD - Organization for Humanitarian and Development,other,
ZAYED Foundation,foundations,
ZIF - Center for InterNational Peace Operations,NGOs,
Zimbabwe,National government,
Zimbabwe Red Cross,red cross,
ZOA Refugee Care,NGOs,
"Zodiac of North America, Inc.",private sector corporations,
Zukunft f. Kinder,other,
A.I.M.E! International e.V. (Deutschland),NGOs,
ACT Alliance / Lutheran World Federation Nepal,NGOs,
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs,
Afghanistan Center for Training and Development,NGOs,
Africa Development Corps,NGOs,
Africa Solidarity Trust Fund,Other pooled,
African Rainbow Minerals,private sector corporations,
Agence Humanitaire Africaine,private sector corporations,
Airlink,private sector corporations,
Alber Charity Society,Other,
Aliko Dangote's Foundation,foundations,
Alliance for International Medical Action,NGOs,
Asal Rural Development Organization,Other,
Asociación Salvadoreña de Ayuda Humanitaria,NGOs,
Association de Lutte Contre le Sida,private individual organisations,
"Association for Forests, Development and Conservation",NGOs,
Association Locale pour le Développement Intégral,NGOs,
"Association pour la Solidarité, le Développement et l'Intégration Sociale",NGOs,
Associazione Italiana per la Solidarietà tra I Popoli,NGOs,
Asylum Access,NGOs,
Atlas Alliance,NGOs,
Basic Awareness Rehabilitation & Networking,private sector corporations,
BBC Media Action,NGOs,
Bent-e-Hawa Peace and Development Organization,NGOs,
Bilateral (affected government),National government,
Buddhistforbundet,NGOs,
CAIPA,National government,
Cairo Institute for Human Rights Studies,NGOs,
Cameroon Red Cross Society,Red Cross,
Canadian Imperial Bank of Commerce,private sector corporations,
CARE Luxembourg,NGOs,
CARGOMA,private sector corporations,
Center for Applied Linguistics,academia/think/research,
Center for Women’s Legal Research and Consulting,academia/think/research,
Centers for Disease Control,DAC governments,
Centers for Disease Control Foundation,NGOs,
Centre de Support en Santé Internationale,NGOs,
Centro de Estudios y Prevencion de Desastres,NGOs,
"Cera Products, Inc",private sector corporations,
Child Rights Connect,NGOs,
Cigna Foundation,foundations,
Civic Coalition for Palestinian Rights in Jerusalem,NGOs,
Coca-Cola Foundation,private sector corporations,
Community Development Organization,NGOs,
Community Media Network,NGOs,
Cooperative Housing Foundation International,NGOs,
Coordination Of Rehabilitation Services For Afghanistan,NGOs,
Crisis Action,NGOs,
Danish Mission Council Development,NGOs,
dawa Islamic organization,NGOs,
Demos Institute,academia/think/research,
Direct Relief,NGOs,
Ebola Response Multi-Partner Trust Fund,Other pooled,
EcoBank,private sector corporations,
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs,
Emergency ONG,NGOs,
EuropeAid,EC,
European Commission's Humanitarian Aid and Civil Protection Department,EC,
FilmAid,NGOs,
Fondation Mérieux,foundations,
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,foundations,
Framtiden i våre hender,NGOs,
France Terre d’Asile,NGOs,
Friends of UNFPA,NGOs,
Frontier Primary Health Care,NGOs,
Fundación Acción Contra el Hambre,NGOs,
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs,
Fundación Halü Bienestar Humano,NGOs,
German Doctors e.V.,NGOs,
German Toilet Organization e.V.,NGOs,
GHESKIO Centers,foundations,
Global Aid Hand,NGOs,
Global Giving,NGOs,
Global Network for Disaster Reduction,NGOs,
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",NGOs,
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,NGOs,
Help Syria through the Winter Foundation,foundations,
Hidig Relief And Development Organization,Other,
"IHH-Humanitarian Relief Foundation, Turkey",NGOs,
InformAction,NGOs,
Innovative Humanitarian Solutions,NGOs,
Institut Européen de Coopération et de Développement,NGOs,
International Law and Policy Institute,academia/think/research,
International Procurement Agency,private sector corporations,
International Renaissance Foundation,foundations,
irshad and islah society lebanon,NGOs,
Islamic Center Society,NGOs,
John Dau Foundation,NGOs,
John Hopkins Center for Communication Programs,academia/think/research,
Jordan Engineering Association,private sector corporations,
Just Peace Initiatives,NGOs,
Khazanah Nasional,National government,
La Asociación Minga,NGOs,
Larry Page's Family Foundation,private individual organisations,
Lead Development Agency,NGOs,
Lebanese Association for Development Al Majmoua,private individual organisations,
Lebanese Institute for Democracy and Human Rights,NGOs,
Legatum Foundation,foundations,
Liberia Petroleum Company,private sector corporations,
Light for the World,NGOs,
Lutherian World Fund,NGOs,
Madrasati Initiative,private individual organisations,
Makassed Philanthropic Islamic Association of Beirut,NGOs,
Masar,NGOs,
Médecins d'Afrique,NGOs,
Medical Teams International,NGOs,
Merck,private sector corporations,
Mercury International,private sector corporations,
Millennium Promise Japan,NGOs,
Mouvement non violent syrien,NGOs,
National Federation of UNESCO Association in Japan,NGOs,
National Oil Company of Liberia,private sector corporations,
NCA+partners,private sector corporations,
NetHope,NGOs,
NGO Coordination Committee for Iraq,NGOs,
Noon Charity Organization,NGOs,
Norwegian Medical Association,private individual organisations,
Nyein (Shalom) Foundation,NGOs,
Open Society Foundations,foundations,
"Organization for Refuge, Asylum and Migration",academia/think/research,
Palestinian Farmers Association,academia/think/research,
Palestinian Hydrology Group,NGOs,
Paul G. Allen,foundations,
Peace Bridge Association,NGOs,
Philippine Jesuit Foundation,foundations,
Plan Liberia,NGOs,
Poverty Eradication Initiative,private individual organisations,
Prime Foundation,NGOs,
Programa de Reducción del Riesgo de Desastres,National government,
Protecting Through Education,NGOs,
Public Health Initiative Liberia,private individual organisations,
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,academia/think/research,
Reach Vulnerable,Other,
Rebuild and Relief International NGO gGmbH,NGOs,
Refugee Consortium of Kenya,NGOs,
Relief Pakistan,NGOs,
René Moawad Foundation,NGOs,
Robert Wood Johnson Foundation,foundations,
Rural Development Initiative Pakistan,NGOs,
Rural Initiatives in Sustainability and Empowerment,NGOs,
SADEL,private sector corporations,
SAFDF,Other,
Sawa Organization,NGOs,
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs,
Seplat Petroleum Development Company Plc,private sector corporations,
Shafaq Rehabilitation Organization (SHA),Other,
SHASSMEPPE,NGOs,
Sibro Organization for Development,NGOs,
Sierra Minerals Holdings/Vimetco,private sector corporations,
Social Services Program,NGOs,
Société Anglogold Ashanti de Guinée,private sector corporations,
Society for Human Emancipation and Development,private individual organisations,
Solo Enviro Beautification,NGOs,
Soryiat,other,
Start Fund,NGOs,
Stiftelsen Litteraturhuset,private individual organisations,
Support for Peace and Education Development Program,NGOs,
Syria Sanad,NGOs,
Taghyeer,private individual organisations,
Taiwan ICDF,National government,
The Competitiveness,other,
The Equal Rights Trust,private individual organisations,
The Foundation for the Refugee Education Trust,NGOs,
Tides Center,NGOs,
Tompran Foundation,foundations,
Tony Elumelu Foundation,foundations,
UN Mission for Ebola Emergency Response,UN Multi,
UN TF for Int'l Coop&Dev,Other pooled,
Union des Organisations Syrienne de Secours Médicaux,NGOs,
United Israel Appeal,private individual organisations,
United Nations Department of Safety and Security,UN Multi,
Universal Rights Group,academia/think/research,
Urgence Solidarité Syrie,NGOs,
VENRO,NGOs,
Vet-Care Organization,NGOs,
Virgin Unite,foundations,
Vitalité Plus,NGOs,
VNG International,private individual organisations,
VOLVO,private sector corporations,
Wakachiai Project,other,
WELLCOME TRUST,foundations,
Women Empowerment Organization,NGOs,
Women's Education Partnership,NGOs,
Women's Evangelical Association of Bossangoa,NGOs,
Women's Refugee Commission,NGOs,
World Council of Churches,private individual organisations,
World Neighbors,NGOs,
World Relief Corporation,NGOs,
Yemen Medical Charitable Society,NGOs,
Youth Resource Centre,other,
ZOA,NGOs,
ABAAD-Resource Center for Gender Equality,NGOs,
Abdel Mohsen Qattan Foundation,foundations,
Abs Development for Women and Children,NGOs,
Action for Development,NGOs,
Action for Peace and Sustainable Development,NGOs,
action medeor e.V.,NGOs,
Advocates Coalition for Rights and Development,NGOs,
Afghanistankomiteen i Norge,NGOs,
Agency for Assistance and Development of Afghanistan,NGOs,
Agricultural Development Association,NGOs,
Akkar Network for Development,NGOs,
Asociacion Ben por la Infancia,NGOs,
Asociación de Trabajadores y Tecnicos Sin Fronteras,NGOs,
Asociación ONGD Cives Mundi,NGOs,
ASSABIL,NGOs,
Associate in Community Development,NGOs,
