Donor,privatemoney,code,check,private?
Sundry Donors,no,#N/A,,
Sungi,private,#N/A,,
Sungi Development Foundation,private,#N/A,,
"Sunnaas sykehus HF, Forskningsavdelingen",no,#N/A,,
Supply Chain Management System,private,#N/A,,
Support Agency for Rural & Human Association's Development,private,Support Agency for Rural & Human Association's Development,NGOs,no
SurfAid,no,#N/A,,
Suriname ,no,#N/A,,
Suriname Red Cross,no,#N/A,,
Survey Action Center,no,#N/A,,
Survivor Corps,no,#N/A,,
Sustainable Action Group,private,Sustainable Action Group,NGOs,no
Sustainable Heath Development Centre,no,#N/A,,
Sutter Health,private,#N/A,,
Suvannimit Foundation,private,#N/A,,
Suwannimit Foundation,private,#N/A,,
Svenska Missionsradet,no,#N/A,,
Swaziland,no,#N/A,,
Sweden,no,#N/A,,
Swedish Alliance Mission ,no,#N/A,,
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,no,Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs,
Swedish Christian Council,no,#N/A,,
Swedish Civil Contingencies Agency (MSB),no,#N/A,,
Swedish Committee for Afghanistan,no,#N/A,,
Swedish Convenant Church,private,#N/A,,
Swedish Cooperative Centre,no,#N/A,,
Swedish Covenant Mission,no,#N/A,,
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,no,#N/A,,
Swedish Free Mission,private,#N/A,,
Swedish Groups of Africa,no,#N/A,,
Swedish Lutheran Aid,no,#N/A,,
Swedish Mission Council,private,Swedish Mission Council,NGOs,no
Swedish Missionary Association,private,#N/A,,
Swedish Red Cross ,no,#N/A,,
Swedish Refugee Aid,no,#N/A,,
Swedish Tibetan Society for School & Culture,private,#N/A,,
Sweet Mickey Foundation,private,#N/A,,
SWEFOR - Swedish Fellowship of Reconciliation,private,#N/A,,
SWIFT - Society for Worldwide Interbank Financial Telecommunication,private,#N/A,,
"Swift Creative, Inc.",private,#N/A,,
SWIFT RONCO,private,#N/A,,
Swiss Academy for Military and Disaster Medicine,no,#N/A,,
Swiss Academy of Development,no,#N/A,,
Swiss AIDS Care InterNational,private,Swiss AIDS Care InterNational,NGOs,no
Swiss Campaign to Ban Landmines,no,#N/A,,
Swiss Centre for InterNational Health,no,#N/A,,
Swiss Development Cooperation/Swiss Humanitarian Aid,no,#N/A,,
Swiss Disaster Relief Unit,no,#N/A,,
Swiss Embassy,no,#N/A,,
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,no,#N/A,,
Swiss Red Cross,no,#N/A,,
Swiss Rotary Club,no,#N/A,,
Swiss Solidarity,private,#N/A,,
SWISSAID,no,#N/A,,
Swisscontact,private,#N/A,,
SwissCor,no,#N/A,,
SWISSO - Kalmo,no,#N/A,,
Swisspeace,no,#N/A,,
Switzerland,no,#N/A,,
Symantec,private,#N/A,,
SYRIA CAMPAIGN ,no,#N/A,,
Syrian Arab Popular Committee,no,#N/A,,
Syrian Arab Red Crescent,no,#N/A,,
Syrian Arab Republic,no,#N/A,,
Syrian Orthodox Church,private,#N/A,,
Syrian Red Crescent Society,no,#N/A,,
Syrisk Orthodox Church Sweden,private,#N/A,,
T. Kuroyanagi,private,#N/A,,
"TACODAPU, INC.",private,#N/A,,
Tadamun Social Society,no,#N/A,,
TAIPEI FIRE SERVICE,no,#N/A,,
Taiwan (Province of China),no,#N/A,,
Taiwan Grassroots Women Workers' Centre,no,#N/A,,
Taiwan Red Cross Society,no,#N/A,,
Taiwan Rotary,private,#N/A,,
Taiwan Tzu-chi Foundation Malaysia,private,#N/A,,
Tajikistan,no,#N/A,,
Tajikistan Red Crescent Society,no,#N/A,,
Talawiet Organization for Development,private,#N/A,,
Tambanevana Children's Association,no,#N/A,,
Tameer-e-Khalaq Foundation,private,#N/A,,
Tamil Rehabilitation Organisation,no,#N/A,,
Tammuz Organizataion for Social Development,no,#N/A,,
Tampico Beverages Inc.,private,#N/A,,
Tanad Relief and Development Organisation,no,#N/A,,
Tanzania,no,#N/A,,
Tanzania Red Cross National Society,no,#N/A,,
Tanzanian Red Cross,no,#N/A,,
Taraqee Foundation,private,#N/A,,
Target,private,#N/A,,
Tasa Meng,private,#N/A,,
TASSAGHT,no,#N/A,,
Tawsol Al Amal Charity Organization,no,#N/A,,
TD Bank,private,#N/A,,
Tear Australia,no,#N/A,,
TEAR Fund New Zealand,no,TEAR Fund New Zealand,NGOs,
TEARFUND,no,#N/A,,
"TEC Equipment, Inc.",private,#N/A,,
Technisches Hilfswerk (THW),no,#N/A,,
Techno Plan,private,#N/A,,
Tehreek,no,#N/A,,
Telecom for Basic Human Needs,private,#N/A,,
Telecom Sans Frontieres,no,#N/A,,
Telefood Campaign ,no,#N/A,,
Telenor Pakistan,private,#N/A,,
TELUS,private,#N/A,,
Temele Development Organisation,no,#N/A,,
Temporary InterNational Presence in Hebron,no,#N/A,,
Tenet Healthcare Corporation,private,#N/A,,
TERMA FOUNDATION,private,#N/A,,
Terra Nuova,no,#N/A,,
Terra Tech,private,#N/A,,
Terre Des Hommes,no,#N/A,,
Terre des Hommes - Germany,no,#N/A,,
Terre des Hommes - Italy,no,#N/A,,
Terre des Hommes - Lausanne,no,#N/A,,
Terre des Hommes International,no,#N/A,,
TERREMOTO HAITI,no,#N/A,,
Tesco,private,#N/A,,
Tethyan Copper Company,private,#N/A,,
Teva Pharmaceutical Industries Ltd.,private,#N/A,,
TGK Consult,private,#N/A,,
Thai National AIDS Foundation,private,#N/A,,
Thai Red Cross Society,no,#N/A,,
Thai Tsunami Victim Identification Group,no,#N/A,,
Thailand,no,#N/A,,
Thailand Burma Border Consortium,no,#N/A,,
Thardeep Rural Development Programme,private,#N/A,,
The Achelis Foundation,private,#N/A,,
The Alliance for InterNational Medical Action,private,#N/A,,
The Asfari Foundation,private,#N/A,,
The Asia Foundation,private,The Asia Foundation,NGOs,no
The Association for Women's Rights in Development,private,#N/A,,
The Bodman Foundation,private,#N/A,,
The Bridge Fund,no,#N/A,,
The Carter Centre ,no,#N/A,,
The Christian Council of Sweden,private,#N/A,,
The Church of Jesus Christ of Latter-Day Saints,private,#N/A,,
The Clorox Company,private,#N/A,,
The Cuny Center,no,#N/A,,
The Danish-Ethiopian Cooperation,no,#N/A,,
The Danish-Ethiopian Joint Initiative,no,#N/A,,
The Dui Hua Foundation,private,#N/A,,
The Emergency Management Agency of Greater Copenhagen,no,#N/A,,
The Evangelical Alliance Relief,private,#N/A,,
The Family Centre,no,#N/A,,
The Federation of Korean Industries,private,#N/A,,
The Fund for Peace,private,#N/A,,
The General Assembly of Presbyterian Church in Korea,private,#N/A,,
The Graduate Center,no,#N/A,,
The Harvard Program on Humanitarian Policy and Conflict Research,no,#N/A,,
The Health Support Organization,private,The Health Support Organization,NGOs,no
The Hebrew University of Jerusalem,no,#N/A,,
The Humanitarian Forum Yemen,private,The Humanitarian Forum Yemen,NGOs,no
"The Institute of Cultural Affairs, Japan",private,#N/A,,
The InterNational Barent secretary,no,#N/A,,
The Iraqi InterNational Association for Civil Society,no,#N/A,,
The Jewish Federation of Metropolitan Chicago,private,#N/A,,
The Korean Medical Association,no,#N/A,,
The Kvinna till Kvinna Foundation,private,#N/A,,
The Living History Forum,no,#N/A,,
The Mission Covenant Church of Sweden,private,#N/A,,
The Mosaic Religious Community,private,#N/A,,
The Movement Center of Jeju Citizen to Help the North Korea,no,#N/A,,
The National Platform for Natural Hazards,no,#N/A,,
The Nat'l Council of Saemaul Undong  Movement in Korea,no,#N/A,,
The Norwegian Helsinki Committee,no,#N/A,,
The Palestine Solidarity Association in Sweden,no,#N/A,,
The Pears Foundation,private,#N/A,,
The Rafto Foundation,private,#N/A,,
The Rendon Group,private,#N/A,,
The SEEP Network,private,#N/A,,
The Sigrid Rausing Trust,private,#N/A,,
The Sisters of Charity,no,#N/A,,
The Society of the Revival of Islamic Heritage,private,#N/A,,
The Southasia Trust,private,#N/A,,
The Survivor Network Foundation and People with Disability,private,#N/A,,
The Swedish Fellowship of Reconciliation,no,#N/A,,
The Swedish Organisation for Individual Relief,no,#N/A,,
The Tibet Fund,no,The Tibet Fund,Foundation,
Thirst No More,no,#N/A,,
Thomson Foundation,private,#N/A,,
Thrivent Financial for Lutherans,private,#N/A,,
Thue & Selvaag AS,private,#N/A,,
Tibet House Trust,no,#N/A,,
Tides Foundation,private,#N/A,,
Tim Hortons Stores,private,#N/A,,
Timor Leste,no,#N/A,,
Tingting Huang,no,#N/A,,
TIRUS - Maluku network of NGOs,no,#N/A,,
TJX Companies,private,#N/A,,
TNI Navy,no,#N/A,,
TNT,private,#N/A,,
Todya Organization,no,#N/A,,
Togolese Red Cross,no,#N/A,,
Tomooh Association for Skills Development,private,#N/A,,
Tonga,no,#N/A,,
Tonga Red Cross Society,no,#N/A,,
Toro Company,private,#N/A,,
Tørrlandskoordineringsgruppen ,no,#N/A,,
Toshiba Group,private,#N/A,,
TOTAL,no,#N/A,,
Toyota Gilbratar,private,#N/A,,
Toyota Motor Corporation,private,#N/A,,
Toys R Us,private,#N/A,,
TrainAid InterNational,no,#N/A,,
Transat AT,private,#N/A,,
Transcultural Psychosocial Organisation,no,#N/A,,
Transfair/Trans Group Express,private,#N/A,,
Trans-Nzoia Socio-Economic Network,no,#N/A,,
Transparencia Venezuela,no,#N/A,,
Transparency InterNational,no,#N/A,,
Trauma Care Foundation,private,#N/A,,
"Travian Games, Germany",private,#N/A,,
Treatment and Rehabilitation Centre,no,#N/A,,
Treatment and Rehabilitation Centre ,no,#N/A,,
Triangle,no,#N/A,,
Triangle Génération Humanitaire,no,#N/A,,
Tribal Reforms and Development Organization,no,#N/A,,
Trickle  Up Program,no,#N/A,,
Trilogy InterNational Partners,private,#N/A,,
Trinidad & Tobago Red Cross,no,#N/A,,
Trinidad and Tobago,no,#N/A,,
Trinidad and Tobago Red Cross Society,no,#N/A,,
Trinidad and Tobago Red Cross Society,no,#N/A,,
Tripartite Core Group,no,#N/A,,
Trocaire,no,#N/A,,
Tromso Center for Mine Damages,no,#N/A,,
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,no,#N/A,,
Trosgnistans Mission,no,#N/A,,
Trust & Legacies,private,#N/A,,
Trust Fund for Human Security,no,#N/A,,
Tsunami Evaluation Coalition,no,#N/A,,
Tufts University,no,#N/A,,
Tulane University,no,#N/A,,
Tunisia,no,#N/A,,
Tunisia Red Cross,no,#N/A,,
Tunisian Red Crescent,no,#N/A,,
Turkey,no,#N/A,,
Turkey Red Crescent,no,#N/A,,
Turkish Kidney Foundation,no,#N/A,,
Turkish Red Crescent Society,no,#N/A,,
Turkmenistan,no,#N/A,,
Tuvalu,no,#N/A,,
Tzu Chi Foundation ,private,#N/A,,
U.N. Mission in the Central African Republic and Chad (MINURCAT),no,#N/A,,
U.S. Committee for Refugees and Immigrants,no,#N/A,,
UBS,private,#N/A,,
UCODEP__298,no,#N/A,,
Uganda,no,#N/A,,
Uganda Red Cross,no,#N/A,,
Uganda Red Cross Society,no,#N/A,,
UK for UNHCR,no,#N/A,,
Ukraine,no,#N/A,,
Ukraine Red Cross,no,#N/A,,
Ukrainian Red Cross Society,no,#N/A,,
Ulsan Metropolitan City,no,#N/A,,
UN Action Against Sexual Violence in Conflict,no,#N/A,,
UN Agencies (details not yet provided) ,no,#N/A,,
UN Agencies and NGOs (details not yet provided),no,#N/A,,
UN Agencies and Red Cross (details not yet provided),no,#N/A,,
UN Agencies and Red Cross (details not yet provided) ,no,#N/A,,
"UN Agencies, NGOs and Red Cross (details not yet provided)",no,#N/A,,
"UN Agencies, NGOs and/or Red Cross (details not yet provided)",no,#N/A,,
UN Assistance Programme to Afghanistan,no,#N/A,,
UN Central Fund for Influenza Action,no,#N/A,,
UN Committee on Missing Persons,no,#N/A,,
UN Delivering AS ONE,no,#N/A,,
UN Economic Commission for Latin America,no,#N/A,,
Un Enfant Par La Main,no,#N/A,,
UN Foundation,private,#N/A,,
UN GENERAL TRUST FUND,no,#N/A,,
UN Human Security Trust Fund,no,#N/A,,
UN Institute,no,#N/A,,
UN Mine Action Program,no,#N/A,,
UN Mission in Sierra Leone,no,#N/A,,
UN Peacebuilding Fund,no,#N/A,,
Un Ponte Per ,no,#N/A,,
UN Programme on HIV/AIDS,no,#N/A,,
UN Resident Coordinator's Office,no,#N/A,,
UN Spouses Bazaar,no,#N/A,,
UN Stabilization and Recovery - DRC,no,#N/A,,
UN Technical Cooperative Activities,no,#N/A,,
Un Techo Para Mi Pais,no,#N/A,,
UN Trust Fund,no,#N/A,,
UN Voluntary Fund for Indigenous Populations,no,#N/A,,
UN Voluntary Trust Fund for Technical Cooperation,no,#N/A,,
UN Women's Guild,no,#N/A,,
Unallocated Pledges,no,#N/A,,
UNAMSIL/UNDP,no,#N/A,,
UNAVEM/MONUA,no,#N/A,,
UNCO / UNOCHA,no,#N/A,,
Underwriters Laboratories,private,#N/A,,
UNDG Iraq Trust Fund,no,#N/A,,
UNDP Administered Trust Fund,no,#N/A,,
UNDP for UNDSS,no,#N/A,,
UNDP TRAC 1.1.3,no,#N/A,,
UNDP/BCPR (TRAC 3),no,#N/A,,
UNDP/IOM,no,#N/A,,
UNDP/PAPP,no,#N/A,,
UNDP/Skills Consortium,no,#N/A,,
UNDP/UNCHS,no,#N/A,,
UNDP/UNDMTP,no,#N/A,,
UNDP/UNDSS,no,#N/A,,
UNDP/UN-HABITAT,no,#N/A,,
UNDP/UNHCR,no,#N/A,,
UNDP/UNICEF,no,#N/A,,
UN-EUE,no,#N/A,,
UNFPA / UNIFEM,no,#N/A,,
UNFPA/UNAIDS,no,#N/A,,
UNFPA/WFP,no,#N/A,,
UNICEF National Committee/Andorra,private,#N/A,,
UNICEF National Committee/Australia,private,#N/A,,
UNICEF National Committee/Austria,private,#N/A,,
UNICEF National Committee/Belgium,private,#N/A,,
UNICEF National Committee/Canada,private,#N/A,,
UNICEF National Committee/Czech Republic,private,#N/A,,
UNICEF National Committee/Denmark,private,#N/A,,
UNICEF National Committee/Estonia,private,#N/A,,
UNICEF National Committee/Finland,private,#N/A,,
UNICEF National Committee/France,private,#N/A,,
UNICEF National Committee/Germany,private,#N/A,,
UNICEF National Committee/Hellenic,private,#N/A,,
UNICEF National Committee/Hong Kong,private,#N/A,,
UNICEF National Committee/Hungary,private,#N/A,,
UNICEF National Committee/Iceland,private,#N/A,,
UNICEF National Committee/Indonesia,no,#N/A,,
UNICEF National Committee/Ireland,private,#N/A,,
UNICEF National Committee/Israel,no,#N/A,,
UNICEF National Committee/Italy,private,#N/A,,
UNICEF National Committee/Japan,private,#N/A,,
UNICEF National Committee/Korea (Republic of),private,#N/A,,
UNICEF National Committee/Latvia,private,#N/A,,
UNICEF National Committee/Lithuania,private,#N/A,,
UNICEF National Committee/Luxembourg,private,#N/A,,
UNICEF National Committee/Netherlands,private,#N/A,,
UNICEF National Committee/New Zealand,private,#N/A,,
UNICEF National Committee/Norway,private,#N/A,,
UNICEF National Committee/Oman,private,#N/A,,
UNICEF National Committee/Poland,private,#N/A,,
UNICEF National Committee/Portugal,private,#N/A,,
UNICEF National Committee/San Marino,no,#N/A,,
UNICEF National Committee/Slovakia,private,#N/A,,
UNICEF National Committee/Slovenia,private,#N/A,,
UNICEF National Committee/Spain,private,#N/A,,
UNICEF National Committee/Sweden,private,#N/A,,
UNICEF National Committee/Switzerland,private,#N/A,,
UNICEF National Committee/Turkey,private,#N/A,,
UNICEF National Committee/United Kingdom,private,#N/A,,
UNICEF National Committee/USA (US Fund for UNICEF),private,#N/A,,
UNICEF National Committees,private,#N/A,,
UNICEF/FALU,no,#N/A,,
UNICEF/FAO,no,#N/A,,
UNICEF/UNDSS,no,#N/A,,
UNICEF/UNFPA/WHO,no,#N/A,,
UNICEF/UNHCR,no,#N/A,,
UNICEF/UNMAS,no,#N/A,,
UNICEF/WFP,no,#N/A,,
UNICEF/WFP/UNDP/FAO/WHO,no,#N/A,,
UNICEF/WHO,no,#N/A,,
Unilever,private,#N/A,,
Union Bank Foundation,private,#N/A,,
Union Des Organisations Syrienne de Secours Medicaux,no,#N/A,,
Union Nationale des Associations Diocesaines de Secours et Developpement,no,#N/A,,
Union of Agricultural Work Committees,no,#N/A,,
Union of Health Work Committees,no,#N/A,,
Union of Relief Organizations – Lebanon,private,#N/A,,
Union of South American Nations,no,#N/A,,
Union of Sudan African Parties,no,#N/A,,
Uniqlo,private,#N/A,,
Unité de Recherche et d'Action Médico Légale,no,#N/A,,
UNITEC,no,#N/A,,
United Arab Emirates,no,#N/A,,
United Arab Emirates Red Crescent,no,#N/A,,
United Church of Canada,no,#N/A,,
United Islamic Center,no,#N/A,,
United Kingdom,no,#N/A,,
United Kingdom ,no,#N/A,,
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",no,#N/A,,
United Kingdom Department for InterNational Development,no,#N/A,,
United Kingdom Ministry of Defence,no,#N/A,,
United Kingdom Red Cross ,no,#N/A,,
United Methodist Church,private,#N/A,,
United Methodist Committee on Relief,no,#N/A,,
United Missions Mission in Liberia Irish Battalion,no,#N/A,,
United Nations,no,#N/A,,
United Nations Advance Mission in Sudan,no,#N/A,,
United Nations Angola Verification Mission,no,#N/A,,
United Nations assessed contributions,no,#N/A,,
United Nations Assistance Mission for Afghanistan,no,#N/A,,
United Nations Assistance Mission in East Timor,no,#N/A,,
United Nations Assistance Mission in Iraq,no,#N/A,,
United Nations Association in Canada,no,#N/A,,
United Nations Children's Fund,no,#N/A,,
United Nations Committee on Missing Persons,no,#N/A,,
United Nations Corps of Guards in Iraq,no,#N/A,,
United Nations Department of Peace-Keeping Operations,no,#N/A,,
United Nations Dept of Safety and Security ,no,#N/A,,
United Nations Development Fund for Women,no,#N/A,,
United Nations Development Group Office,no,#N/A,,
United Nations Development Programme,no,#N/A,,
United Nations Development Programme - East Timor,no,#N/A,,
"United Nations Development Programme / Rehabilitation, Reconstruction and Development Programme",no,#N/A,,
United Nations Disaster Assessment and Coordination,no,#N/A,,
United Nations Disaster Management Team,no,#N/A,,
United Nations Disengagement Observer Force,no,#N/A,,
United Nations Economic and Social Commission for Asia and the Pacific,no,#N/A,,
"United Nations Educational, Scientific and Cultural Organization",no,#N/A,,
United Nations Entity for Gender Equality and the Empowerment of Women,no,#N/A,,
United Nations Environment Programme,no,#N/A,,
United Nations Foundation,no,#N/A,,
United Nations Fund for InterNational Partnerships,no,#N/A,,
United Nations High Commissioner for Refugees,no,#N/A,,
United Nations Human Settlements Programme (UN-HABITAT),no,#N/A,,
United Nations Humanitarian Air Service,no,#N/A,,
United Nations Humanitarian Information Centre,no,#N/A,,
United Nations Humanitarian Response Depot ,no,#N/A,,
United Nations Industrial Development Organization,no,#N/A,,
United Nations Institute for Disarmament Research,no,#N/A,,
United Nations Institute for Training and Research,no,#N/A,,
United Nations Integrated Office in Sierra Leone ,no,#N/A,,
United Nations InterNational Drug Control Programme,no,#N/A,,
United Nations InterNational Research and Training Institute for the Advance of Women,no,#N/A,,
United Nations Joint Logistics Centre,no,#N/A,,
United Nations Joint Programme on HIV/AIDS,no,#N/A,,
United Nations Mediation Support Unit,no,#N/A,,
United Nations Mine Action Coordination Center (DRC),no,#N/A,,
United Nations Mine Action Coordination Center (DRC),no,#N/A,,
United Nations Mine Action Service,no,#N/A,,
United Nations Mission in Ethiopia and Eritrea,no,#N/A,,
United Nations Mission in Kosovo,no,#N/A,,
United Nations Mission in Sudan,no,#N/A,,
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",no,#N/A,,
United Nations Mission in Timor-Leste,no,#N/A,,
United Nations Mission of Support in East Timor,no,#N/A,,
United Nations Observer Mission in Georgia,no,#N/A,,
United Nations Office for Disarmament Affairs,no,#N/A,,
United Nations Office for Project Services,no,#N/A,,
United Nations Office in Burundi,no,#N/A,,
United Nations Office of Legal Affairs,no,#N/A,,
United Nations Office on Drugs and Crime,no,#N/A,,
United Nations Operation Programme Support,no,#N/A,,
United Nations Operational Satellite Applications Programme,no,#N/A,,
United Nations Peacekeeping Force in Cyprus,no,#N/A,,
United Nations Political Office for Somalia,no,#N/A,,
United Nations Population Fund,no,#N/A,,
United Nations Register of Damage,no,#N/A,,
United Nations Relief and Works Agency for Palestine Refugees in the Near East,no,#N/A,,
United Nations Special Court for Sierra Leone,no,#N/A,,
United Nations Transitional Authority in East Timor,no,#N/A,,
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,no,#N/A,,
United Nations Voluntary Trust Fund on Mine Action,no,#N/A,,
United Nations Volunteers Programme,no,#N/A,,
United Peace Organization,no,#N/A,,
United Rural Development Organization,private,#N/A,,
United States Agency for InterNational Development,no,#N/A,,
United States Catholic Conference,no,#N/A,,
United States Department of Agriculture,no,#N/A,,
United States Department of Defense,no,#N/A,,
United States Department of Health and Human Services,no,#N/A,,
United States Department of State,no,#N/A,,
United States of America,no,#N/A,,
United States Office for Foreign Disaster Assistance,no,#N/A,,
United Technologies Corporation,private,#N/A,,
United Way InterNational,no,#N/A,,
United Way of Massachusetts Bay and Merrimack Valley ,no,#N/A,,
United Way of Miami-Dade,no,#N/A,,
UnitedHealth,private,#N/A,,
Unity and Cooperation for the Development of People,no,#N/A,,
Unity and Cooperation for the Development of Peoples,no,#N/A,,
Universal Intervention and Development Organization,private,Universal Intervention and Development Organization,NGOs,no
Universal Network for Knowledge and Empowerment Agency,private,Universal Network for Knowledge and Empowerment Agency,NGOs,no
Universidad de Chile,no,#N/A,,
Universidad de Las Villas,no,#N/A,,
"Universidad Nacional a Distancia, Costa Rica",no,#N/A,,
Universidad Nacional Autonoma de Honduras,no,#N/A,,
Universitetet i Oslo,no,#N/A,,
University of Capetown,no,#N/A,,
University of Colorado,no,#N/A,,
University of Geneva,no,#N/A,,
University of Miami,no,#N/A,,
University of Nebraska,no,#N/A,,
University of Neuchâtel,no,#N/A,,
University of Oxford - Refugee Studies Centre,no,#N/A,,
University of Rhode Island/SUCCESS LWA,no,#N/A,,
UniverSud-Liège,no,#N/A,,
Univision,private,#N/A,,
UNMAS/UNDP,no,#N/A,,
UNOCHA / UNDP,no,#N/A,,
UNO-Flüchtlingshilfe e.V.,no,#N/A,,
UNOPS/CDAP,no,#N/A,,
UNRWA Friends Association Inc. USA,no,#N/A,,
UNRWA Spanish Committee,no,#N/A,,
Unspecified,no,#N/A,,
Unum,private,#N/A,,
UNVTF/Mine Action,no,#N/A,,
Upper Nile Initiative and Development Organization,no,#N/A,,
Upper Nile Kalaazar Eradication Association,no,#N/A,,
UPR Info,no,#N/A,,
UPS Foundation,private,#N/A,,
Urgence Rehabilitation et Developpement,no,#N/A,,
Uruguay ,no,#N/A,,
Uruguay Red Cross,no,#N/A,,
Uruguayan Red Cross,no,#N/A,,
US Airways,private,#N/A,,
US Bancorp,private,#N/A,,
US Embassy,no,#N/A,,
US Forest Service,no,#N/A,,
US Fund for UNICEF,private,#N/A,,
US Geological Survey,no,#N/A,,
USA for UNHCR,private,#N/A,,
USA Friends of WFP,private,#N/A,,
USA Friends Private,no,#N/A,,
USA Fund for UNICEF,private,#N/A,,
USAID Mission,no,#N/A,,
USAID Recipient,no,#N/A,,
USAID/ANE,no,#N/A,,
USAID/Angola,no,#N/A,,
USAID/Bangladesh,no,#N/A,,
USAID/Conakry,no,#N/A,,
USAID/Disaster Assistance Response Team,no,#N/A,,
USAID/DRC,no,#N/A,,
USAID/Ethiopia,no,#N/A,,
USAID/Guinea,no,#N/A,,
USAID/Haiti,no,#N/A,,
USAID/Indonesia,no,#N/A,,
USAID/Jamaica,no,#N/A,,
USAID/Kenya,no,#N/A,,
USAID/Khartoum,no,#N/A,,
USAID/Liberia,no,#N/A,,
USAID/Lilongwe,no,#N/A,,
USAID/Madagascar,no,#N/A,,
USAID/Malawi,no,#N/A,,
USAID/Nepal,no,#N/A,,
USAID/OTI,no,#N/A,,
USAID/Regional Economic Development Services Office            ,no,#N/A,,
USAID/Russia,no,#N/A,,
USAID/Senegal,no,#N/A,,
USAID/Somalia,no,#N/A,,
USAID/South Africa,no,#N/A,,
USAID/Sri Lanka,no,#N/A,,
USAID/Uganda,no,#N/A,,
USAID/West African Regional Programme,no,#N/A,,
USAID/Zimbabwe,no,#N/A,,
USAID’s Pastoralist Livelihoods Initiative,no,#N/A,,
USAR,private,#N/A,,
US-China Business Council,private,#N/A,,
Uzbekistan,no,#N/A,,
Uzbekistan (Government of),no,#N/A,,
Uzbekistan (Government of),no,#N/A,,
VAF - Verein für Afghanistan Förderung ,no,#N/A,,
Valero Energy/Ultramar,private,#N/A,,
Valid Nutrition,no,#N/A,,
Vamos Adelante,no,#N/A,,
Vans,private,#N/A,,
Vanuatu Red Cross,no,#N/A,,
Vanuatu Red Cross Society,no,#N/A,,
Various (details not yet provided),no,#N/A,,
Various (details not yet provided),no,#N/A,,
Various Donors ,no,#N/A,,
Various Donors (details not yet provided),no,#N/A,,
Various Donors (private),no,#N/A,,
Various Recipients (details not yet provided),no,#N/A,,
Vårt land,private,#N/A,,
VAS,no,#N/A,,
VEH,no,#N/A,,
VEH/HAD,no,#N/A,,
Venable LLP,private,#N/A,,
Venezuela,no,#N/A,,
Venezuela Red Cross,no,#N/A,,
Venezuelan Red Cross,no,#N/A,,
Vento di Terra,no,#N/A,,
Verdens Barn,no,#N/A,,
Verein Bär und Leu,private,Verein Bär und Leu,NGOs,no
Verein f. hum. Hilfe Vaduz,no,#N/A,,
Verein für Aufbauhilfe Tambanevana,private,#N/A,,
Verein Hilfe fur Bangladesch,no,#N/A,,
Verein Lichtblick ,no,#N/A,,
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,no,#N/A,,
Vereniging voor Personele Samenwerking Ontwikkelings-landen,no,#N/A,,
Verizon Foundation,private,#N/A,,
VETAID,no,#N/A,,
Vétérinaire sans Frontieres,no,#N/A,,
Vétérinaires sans Frontières (Belgium),no,#N/A,,
Vétérinaires sans Frontières (Germany),no,#N/A,,
Vétérinaires sans Frontières (Switzerland),no,#N/A,,
Vetworks Eastern Africa,private,#N/A,,
VIC,no,#N/A,,
VICINI and the INICIA Foundation,private,#N/A,,
Victims of Torture,no,#N/A,,
Vie Sacree,no,#N/A,,
Viet Nam,no,#N/A,,
Viet Nam Red Cross,no,#N/A,,
Village Elders Group,no,#N/A,,
Visa,private,#N/A,,
VISION,no,#N/A,,
Vision Hope,private,#N/A,,
Vision Hope International,no,#N/A,,
Visions in Action,no,#N/A,,
VITALITE PLUS,no,#N/A,,
Vitamin Shoppe,private,#N/A,,
VITOL,private,#N/A,,
"Vitoria-Gasteiz, Municipality of (Spain)",no,#N/A,,
Viva Rio,no,#N/A,,
Vivamos Mejor,no,#N/A,,
Vive Zene,no,#N/A,,
Vodafone Group Foundation,private,#N/A,,
VOICE ASBL,no,#N/A,,
Voice of America,no,#N/A,,
Voila Earthquake Relief Fund,private,#N/A,,
Volens,no,#N/A,,
Volontariato Internazionale per lo Sviluppo,no,#N/A,,
Voluntariado Internacional para o Desenvolvimento Africano,no,#N/A,,
Voluntary Health Association of India,no,#N/A,,
Voluntary Organisations in Cooperation in Emergencies,private,#N/A,,
Voluntary Service Overseas,no,#N/A,,
Volunteer Corpes-Greek Firemen Replanters,no,#N/A,,
Volunteer Organization for the InterNational Co-operation,no,#N/A,,
VREDESEILANDEN,no,#N/A,,
VsF (CH) / PACE,no,#N/A,,
W.K. Kellogg Foundation,private,#N/A,,
Waatasemu Charity Association,no,#N/A,,
Wabi Shelbelle Development,no,#N/A,,
Wadi,no,#N/A,,
Wahdat Rehabilitation and Development Organization for Afghan Women,no,#N/A,,
Wajir South Development Association,no,#N/A,,
Wajir South Development Association ,no,#N/A,,
Wakefern Food Corp. (ShopRite and PriceRite stores,private,#N/A,,
Walgreens,private,#N/A,,
Wal-Mart,private,#N/A,,
