indicator,year,region,n,value
Sanitation.Limited,2015,Western Africa,16,24
Sanitation.Safely managed,2015,Western Africa,0,
Sanitation.Unimproved,2015,Western Africa,16,19
Sanitation.Open defecation,2015,Western Africa,16,28
Agriculture,1990,Western Africa,12,7
Education,1990,Western Africa,5,9
Health,1990,Western Africa,5,3
Social protection,1990,Western Africa,0,
Agriculture,2000,Western Africa,11,4
Education,2000,Western Africa,3,11
Health,2000,Western Africa,3,3
Social protection,2000,Western Africa,3,14
Agriculture,2010,Western Africa,10,6
Education,2010,Western Africa,2,5
Health,2010,Western Africa,2,4
Social protection,2010,Western Africa,2,8
Agriculture,2012,Western Africa,10,5
Education,2012,Western Africa,2,10
Health,2012,Western Africa,2,6
Social protection,2012,Western Africa,2,2
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Western Africa,16,Many provisions in law
Extent of Constitutional Right to Food,2003,Western Africa,13,Medium high
Maternity protection (Convention 183),2011,Western Africa,14,Partial
Wheat fortification legislation ,2015,Western Africa,16,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Western Africa,16,No
Bringing people into a shared space for action (%),2017,Western Africa,14,65
Ensuring a coherent policy and legal framework (%),2017,Western Africa,14,75
Aligning actions around a common results framework (%),2017,Western Africa,14,48
Financial tracking and resource mobilization (%),2017,Western Africa,14,46
Total weighed score (%),2017,Western Africa,14,58
Total population (000),2017,Western Asia,17,262739
Under-5 population (000),2017,Western Asia,17,27071
Urban population (%),2017,Western Asia,17,71
>65 population (%),2017,Western Asia,17,5
Under-5 mortality rate (deaths per 1000 live births),2015,Western Asia,17,19
GDP per capita (PPP),2016,Western Asia,13,25125
Poverty rates $1.90,2000-2013,Western Asia,0,
Poverty rates $3.10,2000-2013,Western Asia,0,
Stunting (millions),2016,Western Asia,13,4
Wasting (millions),2016,Western Asia,13,1
Overweight (millions),2016,Western Asia,13,2.2
Stunting (%),2016,Western Asia,13,15.7
Wasting (%),2016,Western Asia,13,3.9
Overweight (%),2016,Western Asia,13,8
Severe wasting (%),2016,Western Asia,11,1.1
Low birth weight (%),2000-2012,Western Asia,17,13
Adolescent overweight (%),2003-2014,Western Asia,0,
Adolescent obesity (%),2003-2014,Western Asia,0,
"Women of reproductive age, thinness (%)",1994-2015,Western Asia,5,7
"Women of reproductive age, short stature (%)",1994-2015,Western Asia,5,3
Women of reproductive age with anaemia (000),2016,Western Asia,17,23308
Women of reproductive age with anaemia (%),2016,Western Asia,17,36
Vitamin A deficiency in children 6-59 months (%),2013,Western Asia,15,11
Population classification of iodine status,1996-2001,Western Asia,13,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Western Asia,17,24
"Raised blood pressure, Female (%)",2015,Western Asia,17,22
"Raised blood glucose, Male (%)",2014,Western Asia,17,14
"Raised blood glucose, Female (%)",2014,Western Asia,17,14
"Raised blood cholesterol, Male (%)",2008,Western Asia,17,40
"Raised blood cholesterold, Female (%)",2008,Western Asia,17,43
"Adult overweight and obesity, Male (%)",2014,Western Asia,17,59
"Adult overweight and obesity, Female (%)",2014,Western Asia,17,65
"Adult obesity, Male (%)",2014,Western Asia,17,21
"Adult obesity, Female (%)",2014,Western Asia,17,33
Stunting.No progress or worsening,2017,Western Asia,,3
Stunting.On course,2017,Western Asia,,3
Stunting.Some progress,2017,Western Asia,,0
Stunting.Insufficient data to make assessment,2017,Western Asia,,11
Wasting.No progress or worsening,2017,Western Asia,,2
Wasting.On course,2017,Western Asia,,4
Wasting.Some progress,2017,Western Asia,,0
Wasting.Insufficient data to make assessment,2017,Western Asia,,11
Overweight.Off course,2017,Western Asia,,3
Overweight.On course,2017,Western Asia,,2
Overweight.Insufficient data to make assessment,2017,Western Asia,,12
Anaemia.No progress or worsening,2017,Western Asia,,16
Anaemia.On course,2017,Western Asia,,
Anaemia.Some progress,2017,Western Asia,,1
Anaemia.Insufficient data to make assessment,2017,Western Asia,,0
EBF.No progress or worsening,2017,Western Asia,,1
EBF.On course,2017,Western Asia,,0
EBF.Some progress,2017,Western Asia,,0
EBF.Insufficient data to make assessment,2017,Western Asia,,16
"Adult obesity, female.Insufficient data to make assessment",2017,Western Asia,,0
"Adult obesity, female.Off course",2017,Western Asia,,17
"Adult obesity, female.On course",2017,Western Asia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Western Asia,,0
"Adult obesity, male.Off course",2017,Western Asia,,17
"Adult obesity, male.On course",2017,Western Asia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Western Asia,,0
"Adult diabetes, female.Off course",2017,Western Asia,,16
"Adult diabetes, female.On course",2017,Western Asia,,1
Adult diabetes male.Insufficient data to make assessment,2017,Western Asia,,0
Adult diabetes male.Off course,2017,Western Asia,,17
Adult diabetes male.On course,2017,Western Asia,,0
Antenatal care (4+ visits),2003-2016,Western Asia,11,70
Skilled attendant at birth,1998-2016,Western Asia,16,91
Initiation of breastfeeding within 1 hour after birth,2003-2016,Western Asia,11,46
Continued breastfeeding at 1 year,1995-2016,Western Asia,14,59
Unmet need for family planning,1993-2016,Western Asia,9,12
"Severe acute malnutrition, geographic coverage",2012,Western Asia,0,
"Vitamin A supplementation, full coverage",2014,Western Asia,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Western Asia,0,
Immunization coverage (DTP3),2016,Western Asia,17,85
Iodized salt consumption,2000-2013,Western Asia,8,56
Exclusive breastfeeding 0-5 months (%),1999-2015,Western Asia,11,26
Minimum acceptable diet 6-23 months (%),2010-2016,Western Asia,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Western Asia,0,
Undernourishment (%),1990,Western Asia,0,
Undernourishment (%),1999,Western Asia,0,
Undernourishment (%),2009,Western Asia,0,
Undernourishment (%),2014,Western Asia,0,
Fruit and veg (grams),1990,Western Asia,11,727
Fruit and veg (grams),2000,Western Asia,14,691
Fruit and veg (grams),2010,Western Asia,14,655
Fruit and veg (grams),2013,Western Asia,14,680
Non-staples (%),1990,Western Asia,14,45
Non-staples (%),1999,Western Asia,14,45
Non-staples (%),2008,Western Asia,14,48
Non-staples (%),2011,Western Asia,0,
Early childbearing: births by age 18 (%),2001-2015,Western Asia,9,9
Gender Inequality Index (score),2015,Western Asia,17,0.407
Female secondary education enrolment rate,2006-2012,Western Asia,11,72
Physicians,1998-2015,Western Asia,17,1.772
Nurses and midwives,1994-2015,Western Asia,17,2.945
Community health workers,1992-2013,Western Asia,0,
Drinking.Basic,2000,Western Asia,16,74
Drinking.Limited,2000,Western Asia,0,
Drinking.Surface water,2000,Western Asia,16,3
Drinking.Unimproved,2000,Western Asia,16,8
Drinking.Safely managed,2000,Western Asia,0,
Drinking.Basic,2010,Western Asia,17,75
Drinking.Limited,2010,Western Asia,0,
Drinking.Surface water,2010,Western Asia,17,2
Drinking.Unimproved,2010,Western Asia,17,4
Drinking.Safely managed,2010,Western Asia,0,
Drinking.Basic,2015,Western Asia,17,77
Drinking.Limited,2015,Western Asia,0,
Drinking.Surface water,2015,Western Asia,17,1
Drinking.Unimproved,2015,Western Asia,17,1
Drinking.Safely managed,2015,Western Asia,0,
Sanitation.Basic,2000,Western Asia,16,52
Sanitation.Limited,2000,Western Asia,16,3
Sanitation.Safely managed,2000,Western Asia,9,40
Sanitation.Unimproved,2000,Western Asia,16,11
Sanitation.Open defecation,2000,Western Asia,16,5
Sanitation.Basic,2010,Western Asia,17,51
Sanitation.Limited,2010,Western Asia,17,3
Sanitation.Safely managed,2010,Western Asia,10,51
Sanitation.Unimproved,2010,Western Asia,17,6
Sanitation.Open defecation,2010,Western Asia,17,3
Sanitation.Basic,2015,Western Asia,17,50
Sanitation.Limited,2015,Western Asia,17,3
Sanitation.Safely managed,2015,Western Asia,10,56
Sanitation.Unimproved,2015,Western Asia,17,4
Sanitation.Open defecation,2015,Western Asia,17,2
Agriculture,1990,Western Asia,10,3
Education,1990,Western Asia,10,14
Health,1990,Western Asia,10,4
Social protection,1990,Western Asia,9,4
Agriculture,2000,Western Asia,13,3
Education,2000,Western Asia,11,12
Health,2000,Western Asia,11,5
Social protection,2000,Western Asia,11,7
Agriculture,2010,Western Asia,0,
Education,2010,Western Asia,12,13
Health,2010,Western Asia,12,6
Social protection,2010,Western Asia,12,18
Agriculture,2012,Western Asia,0,
Education,2012,Western Asia,10,14
Health,2012,Western Asia,10,5
Social protection,2012,Western Asia,10,20
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Western Asia,17,Few provisions in law
Extent of Constitutional Right to Food,2003,Western Asia,14,Medium low
Maternity protection (Convention 183),2011,Western Asia,14,No
Wheat fortification legislation ,2015,Western Asia,17,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Western Asia,17,No
Bringing people into a shared space for action (%),2017,Western Asia,,
Ensuring a coherent policy and legal framework (%),2017,Western Asia,,
Aligning actions around a common results framework (%),2017,Western Asia,,
Financial tracking and resource mobilization (%),2017,Western Asia,,
Total weighed score (%),2017,Western Asia,,
Total population (000),2017,Western Europe,9,193431
Under-5 population (000),2017,Western Europe,7,9852
Urban population (%),2017,Western Europe,9,79
>65 population (%),2017,Western Europe,7,20
Under-5 mortality rate (deaths per 1000 live births),2015,Western Europe,8,4
GDP per capita (PPP),2016,Western Europe,7,42908
Poverty rates $1.90,2000-2013,Western Europe,0,
Poverty rates $3.10,2000-2013,Western Europe,0,
Stunting (millions),2016,Western Europe,,
Wasting (millions),2016,Western Europe,,
Overweight (millions),2016,Western Europe,,
Stunting (%),2016,Western Europe,,
Wasting (%),2016,Western Europe,,
Overweight (%),2016,Western Europe,,
Severe wasting (%),2016,Western Europe,,
Low birth weight (%),2000-2012,Western Europe,8,7
Adolescent overweight (%),2003-2014,Western Europe,0,
Adolescent obesity (%),2003-2014,Western Europe,0,
"Women of reproductive age, thinness (%)",1994-2015,Western Europe,0,
"Women of reproductive age, short stature (%)",1994-2015,Western Europe,0,
Women of reproductive age with anaemia (000),2016,Western Europe,7,7020
Women of reproductive age with anaemia (%),2016,Western Europe,7,17
Vitamin A deficiency in children 6-59 months (%),2013,Western Europe,0,
Population classification of iodine status,1996-2001,Western Europe,7,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Western Europe,7,25
"Raised blood pressure, Female (%)",2015,Western Europe,7,16
"Raised blood glucose, Male (%)",2014,Western Europe,7,6
"Raised blood glucose, Female (%)",2014,Western Europe,7,4
"Raised blood cholesterol, Male (%)",2008,Western Europe,7,66
"Raised blood cholesterold, Female (%)",2008,Western Europe,7,60
"Adult overweight and obesity, Male (%)",2014,Western Europe,7,65
"Adult overweight and obesity, Female (%)",2014,Western Europe,7,50
"Adult obesity, Male (%)",2014,Western Europe,7,22
"Adult obesity, Female (%)",2014,Western Europe,7,20
Stunting.No progress or worsening,2017,Western Europe,,0
Stunting.On course,2017,Western Europe,,0
Stunting.Some progress,2017,Western Europe,,0
Stunting.Insufficient data to make assessment,2017,Western Europe,,9
Wasting.No progress or worsening,2017,Western Europe,,0
Wasting.On course,2017,Western Europe,,0
Wasting.Some progress,2017,Western Europe,,0
Wasting.Insufficient data to make assessment,2017,Western Europe,,9
Overweight.Off course,2017,Western Europe,,0
Overweight.On course,2017,Western Europe,,0
Overweight.Insufficient data to make assessment,2017,Western Europe,,9
Anaemia.No progress or worsening,2017,Western Europe,,7
Anaemia.On course,2017,Western Europe,,
Anaemia.Some progress,2017,Western Europe,,0
Anaemia.Insufficient data to make assessment,2017,Western Europe,,2
EBF.No progress or worsening,2017,Western Europe,,0
EBF.On course,2017,Western Europe,,0
EBF.Some progress,2017,Western Europe,,0
EBF.Insufficient data to make assessment,2017,Western Europe,,9
"Adult obesity, female.Insufficient data to make assessment",2017,Western Europe,,2
"Adult obesity, female.Off course",2017,Western Europe,,7
"Adult obesity, female.On course",2017,Western Europe,,
"Adult obesity, male.Insufficient data to make assessment",2017,Western Europe,,2
"Adult obesity, male.Off course",2017,Western Europe,,7
"Adult obesity, male.On course",2017,Western Europe,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Western Europe,,2
"Adult diabetes, female.Off course",2017,Western Europe,,0
"Adult diabetes, female.On course",2017,Western Europe,,7
Adult diabetes male.Insufficient data to make assessment,2017,Western Europe,,2
Adult diabetes male.Off course,2017,Western Europe,,6
Adult diabetes male.On course,2017,Western Europe,,1
Antenatal care (4+ visits),2003-2016,Western Europe,3,99
Skilled attendant at birth,1998-2016,Western Europe,5,99
Initiation of breastfeeding within 1 hour after birth,2003-2016,Western Europe,0,
Continued breastfeeding at 1 year,1995-2016,Western Europe,0,
Unmet need for family planning,1993-2016,Western Europe,0,
"Severe acute malnutrition, geographic coverage",2012,Western Europe,0,
"Vitamin A supplementation, full coverage",2014,Western Europe,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Western Europe,0,
Immunization coverage (DTP3),2016,Western Europe,8,96
Iodized salt consumption,2000-2013,Western Europe,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Western Europe,0,
Minimum acceptable diet 6-23 months (%),2010-2016,Western Europe,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Western Europe,0,
Undernourishment (%),1990,Western Europe,0,
Undernourishment (%),1999,Western Europe,0,
Undernourishment (%),2009,Western Europe,0,
Undernourishment (%),2014,Western Europe,0,
Fruit and veg (grams),1990,Western Europe,5,548
Fruit and veg (grams),2000,Western Europe,7,562
Fruit and veg (grams),2010,Western Europe,7,529
Fruit and veg (grams),2013,Western Europe,7,563
Non-staples (%),1990,Western Europe,5,74
Non-staples (%),1999,Western Europe,7,73
Non-staples (%),2008,Western Europe,7,72
Non-staples (%),2011,Western Europe,0,
Early childbearing: births by age 18 (%),2001-2015,Western Europe,0,
Gender Inequality Index (score),2015,Western Europe,7,0.076
Female secondary education enrolment rate,2006-2012,Western Europe,8,106
Physicians,1998-2015,Western Europe,8,3.73
Nurses and midwives,1994-2015,Western Europe,8,11.824
Community health workers,1992-2013,Western Europe,0,
Drinking.Basic,2000,Western Europe,9,3
Drinking.Limited,2000,Western Europe,0,
Drinking.Surface water,2000,Western Europe,9,0
Drinking.Unimproved,2000,Western Europe,9,0
Drinking.Safely managed,2000,Western Europe,9,97
Drinking.Basic,2010,Western Europe,9,3
Drinking.Limited,2010,Western Europe,0,
Drinking.Surface water,2010,Western Europe,9,0
Drinking.Unimproved,2010,Western Europe,9,0
Drinking.Safely managed,2010,Western Europe,9,97
Drinking.Basic,2015,Western Europe,9,3
Drinking.Limited,2015,Western Europe,0,
Drinking.Surface water,2015,Western Europe,9,0
Drinking.Unimproved,2015,Western Europe,9,0
Drinking.Safely managed,2015,Western Europe,9,97
Sanitation.Basic,2000,Western Europe,9,7
Sanitation.Limited,2000,Western Europe,9,1
Sanitation.Safely managed,2000,Western Europe,9,92
Sanitation.Unimproved,2000,Western Europe,9,0
Sanitation.Open defecation,2000,Western Europe,9,0
Sanitation.Basic,2010,Western Europe,9,5
Sanitation.Limited,2010,Western Europe,9,1
Sanitation.Safely managed,2010,Western Europe,9,94
Sanitation.Unimproved,2010,Western Europe,9,0
Sanitation.Open defecation,2010,Western Europe,9,0
Sanitation.Basic,2015,Western Europe,9,4
Sanitation.Limited,2015,Western Europe,9,1
Sanitation.Safely managed,2015,Western Europe,9,95
Sanitation.Unimproved,2015,Western Europe,9,0
Sanitation.Open defecation,2015,Western Europe,9,0
Agriculture,1990,Western Europe,5,2
Education,1990,Western Europe,6,5
Health,1990,Western Europe,6,13
Social protection,1990,Western Europe,6,41
Agriculture,2000,Western Europe,6,1
Education,2000,Western Europe,7,10
Health,2000,Western Europe,7,13
Social protection,2000,Western Europe,6,42
Agriculture,2010,Western Europe,6,1
Education,2010,Western Europe,7,11
Health,2010,Western Europe,7,15
Social protection,2010,Western Europe,6,41
Agriculture,2012,Western Europe,6,1
Education,2012,Western Europe,7,11
Health,2012,Western Europe,7,15
Social protection,2012,Western Europe,6,41
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Western Europe,9,No information
Extent of Constitutional Right to Food,2003,Western Europe,8,Medium high
Maternity protection (Convention 183),2011,Western Europe,7,Yes
Wheat fortification legislation ,2015,Western Europe,9,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Western Europe,8,Yes
Bringing people into a shared space for action (%),2017,Western Europe,,
Ensuring a coherent policy and legal framework (%),2017,Western Europe,,
Aligning actions around a common results framework (%),2017,Western Europe,,
Financial tracking and resource mobilization (%),2017,Western Europe,,
Total weighed score (%),2017,Western Europe,,
Total population (000),2017,Africa,54,1254582
Under-5 population (000),2017,Africa,54,193718
Urban population (%),2017,Africa,54,41
>65 population (%),2017,Africa,54,4
Under-5 mortality rate (deaths per 1000 live births),2015,Africa,54,72
GDP per capita (PPP),2016,Africa,49,4592
Poverty rates $1.90,2000-2013,Africa,34,52
Poverty rates $3.10,2000-2013,Africa,34,75
Stunting (millions),2016,Africa,51,59
Wasting (millions),2016,Africa,51,14
Overweight (millions),2016,Africa,51,10
Stunting (%),2016,Africa,51,31
Wasting (%),2016,Africa,51,7
Overweight (%),2016,Africa,51,5
Severe wasting (%),2016,Africa,51,2.2
Low birth weight (%),2000-2012,Africa,48,14
Adolescent overweight (%),2003-2014,Africa,,
Adolescent obesity (%),2003-2014,Africa,,
"Women of reproductive age, thinness (%)",1994-2015,Africa,39,12
"Women of reproductive age, short stature (%)",1994-2015,Africa,39,2
Women of reproductive age with anaemia (000),2016,Africa,54,109834
Women of reproductive age with anaemia (%),2016,Africa,54,38
Vitamin A deficiency in children 6-59 months (%),2013,Africa,52,42
Population classification of iodine status,1996-2001,Africa,38,Optimal iodine nutrition/mild iodine deficiency
"Raised blood pressure, Male (%)",2015,Africa,53,27
"Raised blood pressure, Female (%)",2015,Africa,53,28
"Raised blood glucose, Male (%)",2014,Africa,53,8
"Raised blood glucose, Female (%)",2014,Africa,53,8
"Raised blood cholesterol, Male (%)",2008,Africa,53,23
"Raised blood cholesterold, Female (%)",2008,Africa,53,27
"Adult overweight and obesity, Male (%)",2014,Africa,53,24
"Adult overweight and obesity, Female (%)",2014,Africa,53,40
"Adult obesity, Male (%)",2014,Africa,53,6
"Adult obesity, Female (%)",2014,Africa,53,16
Stunting.No progress or worsening,2017,Africa,6,
Stunting.On course,2017,Africa,6,
Stunting.Some progress,2017,Africa,13,
Stunting.Insufficient data to make assessment,2017,Africa,29,
Wasting.No progress or worsening,2017,Africa,11,
Wasting.On course,2017,Africa,11,
Wasting.Some progress,2017,Africa,5,
Wasting.Insufficient data to make assessment,2017,Africa,28,
Overweight.Off course,2017,Africa,7,
Overweight.On course,2017,Africa,17,
Overweight.Insufficient data to make assessment,2017,Africa,30,
Anaemia.No progress or worsening,2017,Africa,30,
Anaemia.On course,2017,Africa,,
Anaemia.Some progress,2017,Africa,24,
Anaemia.Insufficient data to make assessment,2017,Africa,0,
EBF.No progress or worsening,2017,Africa,6,
EBF.On course,2017,Africa,16,
EBF.Some progress,2017,Africa,4,
EBF.Insufficient data to make assessment,2017,Africa,28,
"Adult obesity, female.Insufficient data to make assessment",2017,Africa,1,
"Adult obesity, female.Off course",2017,Africa,53,
"Adult obesity, female.On course",2017,Africa,,
"Adult obesity, male.Insufficient data to make assessment",2017,Africa,1,
"Adult obesity, male.Off course",2017,Africa,53,
"Adult obesity, male.On course",2017,Africa,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Africa,1,
"Adult diabetes, female.Off course",2017,Africa,53,
"Adult diabetes, female.On course",2017,Africa,0,
Adult diabetes male.Insufficient data to make assessment,2017,Africa,1,
Adult diabetes male.Off course,2017,Africa,53,
Adult diabetes male.On course,2017,Africa,,
Antenatal care (4+ visits),2003-2016,Africa,50,55
Skilled attendant at birth,1998-2016,Africa,53,60
Initiation of breastfeeding within 1 hour after birth,2003-2016,Africa,51,47
Continued breastfeeding at 1 year,1995-2016,Africa,51,84
Unmet need for family planning,1993-2016,Africa,49,22
"Severe acute malnutrition, geographic coverage",2012,Africa,31,48
"Vitamin A supplementation, full coverage",2014,Africa,36,73
Children under 5 with diarrhoea receiving ORS,2000-2016,Africa,49,35
Immunization coverage (DTP3),2016,Africa,54,77
Iodized salt consumption,2000-2013,Africa,44,56
Exclusive breastfeeding 0-5 months (%),1999-2015,Africa,51,38
Minimum acceptable diet 6-23 months (%),2010-2016,Africa,34,11
Minimum dietary diversity 6-23 months (%),2010-2016,Africa,35,23
Undernourishment (%),1990,Africa,41,34
Undernourishment (%),1999,Africa,40,28
Undernourishment (%),2009,Africa,38,21
Undernourishment (%),2014,Africa,35,21
Fruit and veg (grams),1990,Africa,43,302
Fruit and veg (grams),2000,Africa,44,319
Fruit and veg (grams),2010,Africa,44,615
Fruit and veg (grams),2013,Africa,45,366
Non-staples (%),1990,Africa,43,36
Non-staples (%),1999,Africa,44,35
Non-staples (%),2008,Africa,44,37
Non-staples (%),2011,Africa,,
Early childbearing: births by age 18 (%),2001-2015,Africa,47,23
Gender Inequality Index (score),2015,Africa,41,0.547
Female secondary education enrolment rate,2006-2012,Africa,32,43
Physicians,1998-2015,Africa,53,0.392
Nurses and midwives,1994-2015,Africa,53,1.164
Community health workers,1992-2013,Africa,33,0.229
Drinking.Basic,2000,Africa,52,44
Drinking.Limited,2000,Africa,51,9
Drinking.Surface water,2000,Africa,52,16
Drinking.Unimproved,2000,Africa,52,24
Drinking.Safely managed,2000,Africa,,
Drinking.Basic,2010,Africa,53,51
Drinking.Limited,2010,Africa,51,11
Drinking.Surface water,2010,Africa,53,11
Drinking.Unimproved,2010,Africa,53,19
Drinking.Safely managed,2010,Africa,,
Drinking.Basic,2015,Africa,54,55
Drinking.Limited,2015,Africa,52,13
Drinking.Surface water,2015,Africa,54,8
Drinking.Unimproved,2015,Africa,54,16
Drinking.Safely managed,2015,Africa,,
Sanitation.Basic,2000,Africa,53,26
Sanitation.Limited,2000,Africa,53,13
Sanitation.Safely managed,2000,Africa,,
Sanitation.Unimproved,2000,Africa,53,25
Sanitation.Open defecation,2000,Africa,53,29
Sanitation.Basic,2010,Africa,53,29
Sanitation.Limited,2010,Africa,53,15
Sanitation.Safely managed,2010,Africa,,
Sanitation.Unimproved,2010,Africa,53,26
Sanitation.Open defecation,2010,Africa,53,23
Sanitation.Basic,2015,Africa,54,30
Sanitation.Limited,2015,Africa,54,16
Sanitation.Safely managed,2015,Africa,,
Sanitation.Unimproved,2015,Africa,54,27
Sanitation.Open defecation,2015,Africa,54,20
Agriculture,1990,Africa,30,7
Education,1990,Africa,22,13
Health,1990,Africa,22,5
Social protection,1990,Africa,,
Agriculture,2000,Africa,34,4
Education,2000,Africa,23,15
Health,2000,Africa,22,4
Social protection,2000,Africa,23,7
Agriculture,2010,Africa,28,5
Education,2010,Africa,21,12
Health,2010,Africa,21,5
Social protection,2010,Africa,21,11
Agriculture,2012,Africa,,
Education,2012,Africa,,
Health,2012,Africa,,
Social protection,2012,Africa,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Africa,54,Full/Many provisions in law
Extent of Constitutional Right to Food,2003,Africa,37,Medium
Maternity protection (Convention 183),2011,Africa,51,Partial
Wheat fortification legislation ,2015,Africa,52,Mandatory/No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Africa,54,No
Bringing people into a shared space for action (%),2017,Africa,33,63
Ensuring a coherent policy and legal framework (%),2017,Africa,33,65
Aligning actions around a common results framework (%),2017,Africa,33,50
Financial tracking and resource mobilization (%),2017,Africa,33,46
Total weighed score (%),2017,Africa,33,56
Total population (000),2017,Asia,47,4467894
Under-5 population (000),2017,Asia,47,364066.9
Urban population (%),2017,Asia,47,49
>65 population (%),2017,Asia,47,8
Under-5 mortality rate (deaths per 1000 live births),2015,Asia,47,30
GDP per capita (PPP),2016,Asia,40,11685
Poverty rates $1.90,2000-2013,Asia,26,16
Poverty rates $3.10,2000-2013,Asia,26,40
Stunting (millions),2016,Asia,43,86.5
Wasting (millions),2016,Asia,43,36
Overweight (millions),2016,Asia,43,20
Stunting (%),2016,Asia,43,24
Wasting (%),2016,Asia,43,10
Overweight (%),2016,Asia,42,6
Severe wasting (%),2016,Asia,43,3.5
Low birth weight (%),2000-2012,Asia,45,20
Adolescent overweight (%),2003-2014,Asia,20,14
Adolescent obesity (%),2003-2014,Asia,20,4
"Women of reproductive age, thinness (%)",1994-2015,Asia,,
"Women of reproductive age, short stature (%)",1994-2015,Asia,,
Women of reproductive age with anaemia (000),2016,Asia,47,417874
Women of reproductive age with anaemia (%),2016,Asia,47,37
Vitamin A deficiency in children 6-59 months (%),2013,Asia,40,22
Population classification of iodine status,1996-2001,Asia,34,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Asia,47,24
"Raised blood pressure, Female (%)",2015,Asia,47,21
"Raised blood glucose, Male (%)",2014,Asia,47,10
"Raised blood glucose, Female (%)",2014,Asia,47,9
"Raised blood cholesterol, Male (%)",2008,Asia,47,32
"Raised blood cholesterold, Female (%)",2008,Asia,47,35
"Adult overweight and obesity, Male (%)",2014,Asia,47,28
"Adult overweight and obesity, Female (%)",2014,Asia,47,30
"Adult obesity, Male (%)",2014,Asia,47,6
"Adult obesity, Female (%)",2014,Asia,47,9
Stunting.No progress or worsening,2017,Asia,3,
Stunting.On course,2017,Asia,7,
Stunting.Some progress,2017,Asia,8,
Stunting.Insufficient data to make assessment,2017,Asia,29,
Wasting.No progress or worsening,2017,Asia,9,
Wasting.On course,2017,Asia,8,
Wasting.Some progress,2017,Asia,2,
Wasting.Insufficient data to make assessment,2017,Asia,38,
Overweight.Off course,2017,Asia,8,
Overweight.On course,2017,Asia,8,
Overweight.Insufficient data to make assessment,2017,Asia,31,
Anaemia.No progress or worsening,2017,Asia,40,
Anaemia.On course,2017,Asia,,
Anaemia.Some progress,2017,Asia,7,
Anaemia.Insufficient data to make assessment,2017,Asia,0,
EBF.No progress or worsening,2017,Asia,6,
EBF.On course,2017,Asia,2,
EBF.Some progress,2017,Asia,1,
EBF.Insufficient data to make assessment,2017,Asia,38,
"Adult obesity, female.Insufficient data to make assessment",2017,Asia,0,
"Adult obesity, female.Off course",2017,Asia,47,
"Adult obesity, female.On course",2017,Asia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Asia,0,
"Adult obesity, male.Off course",2017,Asia,47,
"Adult obesity, male.On course",2017,Asia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Asia,0,
"Adult diabetes, female.Off course",2017,Asia,41,
"Adult diabetes, female.On course",2017,Asia,6,
Adult diabetes male.Insufficient data to make assessment,2017,Asia,0,
Adult diabetes male.Off course,2017,Asia,46,
Adult diabetes male.On course,2017,Asia,1,
Antenatal care (4+ visits),2003-2016,Asia,36,57
Skilled attendant at birth,1998-2016,Asia,46,87
Initiation of breastfeeding within 1 hour after birth,2003-2016,Asia,36,44
Continued breastfeeding at 1 year,1995-2016,Asia,39,65
Unmet need for family planning,1993-2016,Asia,28,13
"Severe acute malnutrition, geographic coverage",2012,Asia,,
"Vitamin A supplementation, full coverage",2014,Asia,18,67
Children under 5 with diarrhoea receiving ORS,2000-2016,Asia,33,44
Immunization coverage (DTP3),2016,Asia,47,91
Iodized salt consumption,2000-2013,Asia,29,76
Exclusive breastfeeding 0-5 months (%),1999-2015,Asia,36,43
Minimum acceptable diet 6-23 months (%),2010-2016,Asia,,
Minimum dietary diversity 6-23 months (%),2010-2016,Asia,,
Undernourishment (%),1990,Asia,31,25
Undernourishment (%),1999,Asia,30,19
Undernourishment (%),2009,Asia,26,15
Undernourishment (%),2014,Asia,24,13
Fruit and veg (grams),1990,Asia,34,296
Fruit and veg (grams),2000,Asia,42,470
Fruit and veg (grams),2010,Asia,42,615
Fruit and veg (grams),2013,Asia,42,670
Non-staples (%),1990,Asia,42,34
